model,scope,method,mean,seed_values,patient_counts,cell_counts
mlp,Other,rna_noise,0.4766465296881825,"[0.414340089961163, 0.5015676812927908, 0.5140318178105935]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,rna_oracle,0.6518965206066307,"[0.6518965206066307, 0.6518965206066307, 0.6518965206066307]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,apt_oracle,0.4966137189177154,"[0.5083463852715094, 0.4913527545050332, 0.4901420169766035]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,prior_oracle,0.4961010168451507,"[0.4961010168451507, 0.4961010168451507, 0.4961010168451507]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,patient_shuffle_0,0.4492681373025758,"[0.42385399303405247, 0.42465244469869784, 0.4992979741749773]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,patient_shuffle_1,0.45116528630296693,"[0.4219103046928896, 0.42283493043138765, 0.5087506237846235]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,patient_shuffle_2,0.45963542043373967,"[0.4237796890888367, 0.4366196582366925, 0.5185069139756899]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,lineage_shuffle_0,0.49477085681514216,"[0.4360313219109474, 0.5197960386109786, 0.5284852099235007]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,lineage_shuffle_1,0.48123919321508923,"[0.41175631050315975, 0.5037943900547508, 0.5281668790873573]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,lineage_shuffle_2,0.48266629577918857,"[0.4197057603930682, 0.5244368682218045, 0.5038562587226931]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,prior_expected_cm,0.48735202819889434,"[0.48735202819889434, 0.48735202819889434, 0.48735202819889434]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,T,rna,0.4851235930289138,"[0.4836592455841866, 0.48535209957101166, 0.4863594339315431]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,apt,0.11869132136734588,"[0.12290877773051898, 0.10682324300433184, 0.12634194336718677]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,rna_apt,0.5101876738812176,"[0.5090230896208665, 0.508350564974845, 0.5131893670479413]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,rna_noise,0.4591111144111493,"[0.4605477511078697, 0.45687738099780884, 0.45990821112776936]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,rna_oracle,0.5348355581042776,"[0.5365044425074742, 0.5354879201809838, 0.5325143116243748]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,apt_oracle,0.19142547877555272,"[0.19270091746422516, 0.18426282309085118, 0.19731269577158178]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,prior_oracle,0.0674855718080696,"[0.0674855718080696, 0.0674855718080696, 0.0674855718080696]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,patient_shuffle_0,0.4956306109746691,"[0.49627467413213333, 0.4953692889655315, 0.4952478698263425]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,patient_shuffle_1,0.49763846514119564,"[0.4933050332247532, 0.5020268297793437, 0.4975835324194902]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,patient_shuffle_2,0.49794587534665896,"[0.4938848766602323, 0.4985657707386572, 0.5013869786410875]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,lineage_shuffle_0,0.5007388215777526,"[0.49901847775125024, 0.49876443386965813, 0.5044335531123494]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,lineage_shuffle_1,0.5008342405274632,"[0.4989661582400366, 0.502006351938548, 0.5015302114038049]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,lineage_shuffle_2,0.5018185969836532,"[0.49833270302336913, 0.4975087140237524, 0.5096143739038378]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,T,prior_expected_cm,0.09791123130913389,"[0.0979112313091339, 0.0979112313091339, 0.0979112313091339]","[40, 40, 40]","[163120, 163120, 163120]"
mlp,all,rna,0.5889510820566574,"[0.5887813815815688, 0.5902899591139634, 0.5877819054744398]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,apt,0.09302327717988197,"[0.09485745699011125, 0.08923883394150153, 0.09497354060803316]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,rna_apt,0.6069421180996167,"[0.6075901308440634, 0.6054095971440561, 0.6078266263107307]","[40, 40, 40]","[361792, 361792, 361792]"
mlp,all,rna_noise,0.5728345064761029,"[0.5730217137515419, 0.5733612575239513, 0.5721205481528155]","[40, 40, 40]","[361792, 361792, 361792]"
