model,scope,metric,comparison,mean,seed_values,valid_bootstrap,low,high
sgd,T,subject_accuracy,rna_apt-minus-lineage_shuffle,0.014319069606741805,"[np.float64(0.010739376136785495), np.float64(0.007448625061788061), np.float64(0.024769207621651856)]",2000,-0.0076085657628668125,0.034244055224264915
sgd,T,sb_f1,apt_oracle-minus-prior_oracle,0.11663854389350425,"[np.float64(0.12837109368648006), np.float64(0.118256302958099), np.float64(0.10328823503593368)]",2000,0.08183860220679033,0.13811173413117522
sgd,T,subject_accuracy,apt_oracle-minus-prior_oracle,-0.15636839605951,"[np.float64(-0.11489841686854518), np.float64(-0.13632807411336434), np.float64(-0.2178786971966205)]",2000,-0.23836121280977238,-0.08345190060306014
sgd,T,sb_f1,rna_oracle-minus-prior_oracle,0.31164318309973377,"[np.float64(0.31835839223663387), np.float64(0.3137102637964818), np.float64(0.30286089326608556)]",2000,0.2441977714498313,0.3536055017022153
sgd,T,subject_accuracy,rna_oracle-minus-prior_oracle,0.004620097941588501,"[np.float64(0.00970289822728343), np.float64(0.006218719874507728), np.float64(-0.0020613242770256557)]",2000,-0.062439303988290694,0.07678358139064374
sgd,T,sb_f1,apt_oracle-minus-prior_expected_cm,0.08621288439243995,"[np.float64(0.09794543418541576), np.float64(0.0878306434570347), np.float64(0.07286257553486938)]",2000,0.056176909612362026,0.1059541865958854
sgd,T,subject_accuracy,apt_oracle-minus-prior_expected_cm,0.033684660938479515,"[np.float64(0.07515464012944434), np.float64(0.05372498288462518), np.float64(-0.027825640198630985)]",2000,-0.03346778239343808,0.0905995207639353
sgd,T,sb_f1,rna_oracle-minus-prior_expected_cm,0.2812175235986694,"[np.float64(0.2879327327355695), np.float64(0.28328460429541746), np.float64(0.2724352337650212)]",2000,0.22010605117296755,0.3188165221995461
sgd,T,subject_accuracy,rna_oracle-minus-prior_expected_cm,0.194673154939578,"[np.float64(0.19975595522527295), np.float64(0.19627177687249725), np.float64(0.18799173272096387)]",2000,0.15716332659469912,0.23419193212981576
sgd,all,sb_f1,rna_apt-minus-rna,0.01848239696604657,"[np.float64(0.006586609352637163), np.float64(0.021412484027467815), np.float64(0.02744809751803473)]",2000,0.003369162652520491,0.03315752022840068
sgd,all,subject_accuracy,rna_apt-minus-rna,0.017950125650303777,"[np.float64(-0.0024437438890986263), np.float64(0.023355360139530768), np.float64(0.032938760700479186)]",2000,-0.008494712492617521,0.038498979626813624
sgd,all,sb_f1,rna_apt-minus-rna_noise,0.039440217583565806,"[np.float64(0.029830763579310526), np.float64(0.040582571243396204), np.float64(0.04790731792799069)]",2000,0.02403886111453937,0.05373912779318209
sgd,all,subject_accuracy,rna_apt-minus-rna_noise,0.0368499790115057,"[np.float64(0.02160663229916515), np.float64(0.03821582915208499), np.float64(0.05072747558326696)]",2000,0.014398475942771076,0.05480887636687498
sgd,all,sb_f1,rna_apt-minus-patient_shuffle,0.005935517834429009,"[np.float64(0.0013172097273695949), np.float64(0.005800289835078909), np.float64(0.010689053940838522)]",2000,-0.00489572680257693,0.01650669522620246
sgd,all,subject_accuracy,rna_apt-minus-patient_shuffle,0.0018449712937751068,"[np.float64(-0.004292632165115218), np.float64(-0.005254486485676169), np.float64(0.015082032532116707)]",2000,-0.01818438666343138,0.01899482581338297
sgd,all,sb_f1,rna_apt-minus-lineage_shuffle,0.0064179971035052685,"[np.float64(0.0003888941033846627), np.float64(0.006052774054797427), np.float64(0.012812323152333716)]",2000,-0.004370534413349423,0.016572647415087433
sgd,all,subject_accuracy,rna_apt-minus-lineage_shuffle,0.0066291162851878456,"[np.float64(-0.0005929970052914735), np.float64(0.001584602443973071), np.float64(0.018895743416881938)]",2000,-0.012014894245249439,0.021663983337339078
sgd,all,sb_f1,apt_oracle-minus-prior_oracle,0.14083954182178707,"[np.float64(0.14830414046802054), np.float64(0.14425706608833821), np.float64(0.12995741890900242)]",2000,0.10691625201729381,0.15879260648595214
sgd,all,subject_accuracy,apt_oracle-minus-prior_oracle,-0.07578415682031109,"[np.float64(-0.0544423273105642), np.float64(-0.06753724564162877), np.float64(-0.10537289750874029)]",2000,-0.13178220779127872,-0.025102331861987518
sgd,all,sb_f1,rna_oracle-minus-prior_oracle,0.39430665970711215,"[np.float64(0.3982463411121684), np.float64(0.3921750282726061), np.float64(0.39249860973656203)]",2000,0.34036983306815655,0.4275199343729188
sgd,all,subject_accuracy,rna_oracle-minus-prior_oracle,0.09802172145116668,"[np.float64(0.10323046017490867), np.float64(0.0918781237073878), np.float64(0.09895658047120359)]",2000,0.04619312915349011,0.15251597826117166
sgd,all,sb_f1,apt_oracle-minus-prior_expected_cm,0.10670597054181909,"[np.float64(0.11417056918805257), np.float64(0.11012349480837025), np.float64(0.09582384762903445)]",2000,0.07735138806252986,0.1218266191465288
sgd,all,subject_accuracy,apt_oracle-minus-prior_expected_cm,0.09118992310928858,"[np.float64(0.11253175261903547), np.float64(0.0994368342879709), np.float64(0.06160118242085938)]",2000,0.05463161622083458,0.12273530969092734
sgd,all,sb_f1,rna_oracle-minus-prior_expected_cm,0.3601730884271442,"[np.float64(0.3641127698322004), np.float64(0.3580414569926381), np.float64(0.35836503845659406)]",2000,0.3126835040608412,0.3883492310680368
sgd,all,subject_accuracy,rna_oracle-minus-prior_expected_cm,0.26499580138076634,"[np.float64(0.27020454010450834), np.float64(0.25885220363698747), np.float64(0.26593066040080326)]",2000,0.23938652533507485,0.29101604345242066
sgd,rna_correct,sb_f1,rna_apt-minus-rna,-0.3112278410872755,"[np.float64(-0.3366988629535448), np.float64(-0.3014643352662807), np.float64(-0.2955203250420011)]",2000,-0.36640331218461125,-0.273803727706743
sgd,rna_correct,subject_accuracy,rna_apt-minus-rna,-0.1687855568068605,"[np.float64(-0.19489379224294867), np.float64(-0.164906300888213), np.float64(-0.14655657728941984)]",2000,-0.2059273608465008,-0.14226924296515175
sgd,rna_correct,sb_f1,rna_apt-minus-rna_noise,0.04987677448153912,"[np.float64(0.029647621869418272), np.float64(0.05365063889512689), np.float64(0.06633206268007219)]",2000,0.021266076174538608,0.07972323981415483
sgd,rna_correct,subject_accuracy,rna_apt-minus-rna_noise,0.019876641566742365,"[np.float64(-0.0017629627886673882), np.float64(0.02268845339578618), np.float64(0.03870443409310831)]",2000,-0.010862335114925336,0.04263512033883911
sgd,rna_correct,sb_f1,rna_apt-minus-patient_shuffle,-0.01144827396373834,"[np.float64(-0.026085720884625463), np.float64(-0.003992728647899568), np.float64(-0.004266372358689985)]",2000,-0.03620118281216353,0.010387823815082619
