actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,0.03110082633793354,0,0.03982414212077856,16.0,16,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,5,success,coarse,3200,0,0.22984526492655277
16,0.1714613437652588,0,0.08341196645051241,13.23076923076923,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,5,success,fine,3200,0,0.4126842441037297
32,0.023822897113859653,0,0.04177793487906456,29.8,21,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,5,success,coarse,3200,0,0.24154542107135057
32,0.18537813425064087,0,0.08070593234151602,21.923076923076923,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,5,success,fine,3200,0,0.44313576724380255
8,0.020216871052980423,0,0.040388031862676144,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,5,success,coarse,3200,0,0.2056251559406519
8,0.23708819318562746,0,0.08008125890046358,7.128205128205129,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,5,success,fine,3200,0,0.46623917389661074
16,0.0442843334749341,0,0.04081649146974087,16.0,16,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,5,success,coarse,6400,0,0.24625516775995493
16,0.6233494747430086,0,0.08088277745991945,14.179487179487179,2,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,5,success,fine,6400,0,0.8633422581478953
32,0.04101486969739199,0,0.03949219733476639,32.0,32,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,5,success,coarse,6400,0,0.2564258845523
32,0.5304085649549961,0,0.08290899824351072,26.025641025641026,2,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,5,success,fine,6400,0,0.7918007131665945
8,0.04428228922188282,0,0.0406173262745142,8.0,8,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,5,success,coarse,6400,0,0.2312279511243105
8,0.5570121677592397,0,0.08017317857593298,7.384615384615385,2,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,5,success,fine,6400,0,0.7904172856360674
16,0.020797076635062695,0,0.04028680268675089,15.8,15,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,6,success,coarse,3200,0,0.21583980694413185
16,0.22726403083652258,0,0.08158894162625074,13.179487179487179,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,6,success,fine,3200,0,0.4653373174369335
32,0.021112626418471336,0,0.04081171751022339,28.6,15,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,6,success,coarse,3200,0,0.23604008741676807
32,0.19780296925455332,0,0.08049722481518984,21.487179487179485,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,6,success,fine,3200,0,0.4531414397060871
8,0.019306433387100697,0,0.043222060427069664,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,6,success,coarse,3200,0,0.20687261689454317
