seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
14,6400,32,logistic_regression,fine,0.5269709048557223,39.0,0.0,32.0,26.528205128205126
14,6400,8,logistic_regression,coarse,0.9851451961656454,5.0,0.0,8.0,7.92
14,6400,8,logistic_regression,fine,0.5271780540457741,39.0,0.0,8.0,7.271794871794872
15,3200,16,logistic_regression,coarse,0.9747148363680397,5.0,0.0,16.0,15.6
15,3200,16,logistic_regression,fine,0.5042238990605881,39.0,0.0,16.0,13.400000000000002
15,3200,32,logistic_regression,coarse,0.9764932457517578,5.0,0.0,32.0,29.160000000000004
15,3200,32,logistic_regression,fine,0.5089748172405998,39.0,0.0,32.0,22.54871794871795
15,3200,8,logistic_regression,coarse,0.9758129107996336,5.0,0.0,8.0,7.959999999999999
15,3200,8,logistic_regression,fine,0.5061579142505618,39.0,0.0,8.0,7.241025641025641
15,6400,16,logistic_regression,coarse,0.9774302750655979,5.0,0.0,16.0,15.88
15,6400,16,logistic_regression,fine,0.5153739465544229,39.0,0.0,16.0,14.343589743589746
15,6400,32,logistic_regression,coarse,0.9809466151380164,5.0,0.0,32.0,31.159999999999997
15,6400,32,logistic_regression,fine,0.5151540185884526,39.0,0.0,32.0,26.538461538461537
15,6400,8,logistic_regression,coarse,0.9786763048647256,5.0,0.0,8.0,7.959999999999999
15,6400,8,logistic_regression,fine,0.517638191335653,39.0,0.0,8.0,7.343589743589743
16,3200,16,logistic_regression,coarse,0.9808596203309312,5.0,0.0,16.0,15.8
16,3200,16,logistic_regression,fine,0.5030135973701478,39.0,0.0,16.0,13.338461538461539
16,3200,32,logistic_regression,coarse,0.9819474049182968,5.0,0.0,32.0,28.919999999999998
16,3200,32,logistic_regression,fine,0.5022806857497665,39.0,0.0,32.0,22.256410256410255
16,3200,8,logistic_regression,coarse,0.9826406627679592,5.0,0.0,8.0,8.0
16,3200,8,logistic_regression,fine,0.5108479716007195,39.0,0.0,8.0,7.184615384615386
16,6400,16,logistic_regression,coarse,0.9812126057714259,5.0,0.0,16.0,16.0
16,6400,16,logistic_regression,fine,0.5209006335464544,39.0,0.0,16.0,14.251282051282052
16,6400,32,logistic_regression,coarse,0.9814507194674313,5.0,0.0,32.0,31.440000000000005
16,6400,32,logistic_regression,fine,0.5207743359878685,39.0,0.0,32.0,26.348717948717944
16,6400,8,logistic_regression,coarse,0.9845759610777849,5.0,0.0,8.0,8.0
16,6400,8,logistic_regression,fine,0.5252760249392343,39.0,0.0,8.0,7.302564102564103
17,3200,16,logistic_regression,coarse,0.9800267014980886,5.0,0.0,16.0,15.76
17,3200,16,logistic_regression,fine,0.5042162363305069,39.0,0.0,16.0,13.364102564102563
17,3200,32,logistic_regression,coarse,0.981683699819461,5.0,0.0,32.0,28.720000000000006
17,3200,32,logistic_regression,fine,0.5069205876513144,39.0,0.0,32.0,22.71794871794872
17,3200,8,logistic_regression,coarse,0.9776493462077275,5.0,0.0,8.0,8.0
17,3200,8,logistic_regression,fine,0.5051887446357907,39.0,0.0,8.0,7.092307692307692
17,6400,16,logistic_regression,coarse,0.98192358895488,5.0,0.0,16.0,15.959999999999999
17,6400,16,logistic_regression,fine,0.5153440802190143,39.0,0.0,16.0,14.225641025641025
