width,model,seed,subtype,cells,patients,rna_correct,paired_correct,rescued,harmed
2000,sgd,20260914,CD16 NK,58507,40,34121,37208,7558,4471
2000,sgd,20260914,CD4 + Tcm-1,70653,40,23944,28267,11267,6944
2000,sgd,20260914,CD4 + Tcm-2,16861,39,8988,9606,2035,1417
2000,sgd,20260914,CD4 Monocyte-4,1405,35,526,461,93,158
2000,sgd,20260914,CD56 NK,38442,40,22732,25499,5280,2513
2000,sgd,20260914,CD8 + CTL-1,7303,40,4488,3898,440,1030
2000,sgd,20260914,CD8 + CTL-2,4049,33,1028,874,378,532
2000,sgd,20260914,CD8 + CTL-3,3244,27,682,1251,831,262
2000,sgd,20260914,CD8 Tem-1,26714,40,13686,13595,3003,3094
2000,sgd,20260914,CD8 Tem-2,10548,40,3546,3556,886,876
2000,sgd,20260914,Cycling T,3667,40,2425,2415,201,211
2000,sgd,20260914,Erythrocyte,65,6,8,8,0,0
2000,sgd,20260914,GCB,3283,31,1722,1656,327,393
2000,sgd,20260914,Memory B-1,23722,40,16434,17720,2384,1098
2000,sgd,20260914,Memory B-2,2130,33,1114,1257,263,120
2000,sgd,20260914,Naive T,17960,40,9691,9147,1865,2409
2000,sgd,20260914,Plasma,2173,40,2106,2117,22,11
2000,sgd,20260914,Tcm,2121,36,185,268,163,80
2000,sgd,20260914,cDC2,7376,40,6711,6633,171,249
2000,sgd,20260914,pDC,2615,40,2348,2373,76,51
2000,sgd,20260914,platelet,1574,38,1523,1519,18,22
2000,mlp,20260912,Atypical Memory B,781,34,462,455,68,75
2000,mlp,20260912,CD14 Monocyte-1,29871,40,25274,25463,1731,1542
2000,mlp,20260912,CD14 Monocyte-2,3931,40,1904,1995,544,453
2000,mlp,20260912,CD14 Monocyte-3,2977,32,1787,1679,285,393
2000,mlp,20260912,CD16 Monocyte-1,14678,40,12759,12814,696,641
2000,mlp,20260912,CD16 Monocyte-2,5142,40,3361,3401,371,331
2000,mlp,20260912,CD16 NK,58507,40,41609,43405,5656,3860
2000,mlp,20260912,CD4 + Tcm-1,70653,40,50735,52522,7420,5633
2000,mlp,20260912,CD4 + Tcm-2,16861,39,9741,10578,1891,1054
2000,mlp,20260912,CD4 Monocyte-4,1405,35,931,925,95,101
2000,mlp,20260912,CD56 NK,38442,40,27973,28105,2779,2647
2000,mlp,20260912,CD8 + CTL-1,7303,40,3834,3889,680,625
2000,mlp,20260912,CD8 + CTL-2,4049,33,1045,1101,474,418
2000,mlp,20260912,CD8 + CTL-3,3244,27,705,1115,569,159
2000,mlp,20260912,CD8 Tem-1,26714,40,16290,16494,3003,2799
2000,mlp,20260912,CD8 Tem-2,10548,40,6970,6669,547,848
2000,mlp,20260912,Cycling T,3667,40,1844,1918,283,209
2000,mlp,20260912,Erythrocyte,65,6,6,5,0,1
2000,mlp,20260912,GCB,3283,31,2030,2096,396,330
2000,mlp,20260912,Memory B-1,23722,40,20948,21505,1294,737
2000,mlp,20260912,Memory B-2,2130,33,1103,1369,389,123
2000,mlp,20260912,Naive T,17960,40,10968,10886,1487,1569
2000,mlp,20260912,Plasma,2173,40,2028,2037,45,36
2000,mlp,20260912,Tcm,2121,36,48,57,36,27
2000,mlp,20260912,cDC2,7376,40,6460,6496,279,243
2000,mlp,20260912,pDC,2615,40,2242,2262,100,80
2000,mlp,20260912,platelet,1574,38,1298,1323,77,52
2000,mlp,20260913,Atypical Memory B,781,34,473,431,53,95
2000,mlp,20260913,CD14 Monocyte-1,29871,40,25325,25537,1664,1452
2000,mlp,20260913,CD14 Monocyte-2,3931,40,1827,2097,672,402
2000,mlp,20260913,CD14 Monocyte-3,2977,32,1811,1803,312,320
2000,mlp,20260913,CD16 Monocyte-1,14678,40,12766,12905,712,573
2000,mlp,20260913,CD16 Monocyte-2,5142,40,3388,3361,308,335
2000,mlp,20260913,CD16 NK,58507,40,41316,42594,5388,4110
2000,mlp,20260913,CD4 + Tcm-1,70653,40,51217,52656,7212,5773
2000,mlp,20260913,CD4 + Tcm-2,16861,39,9778,10184,1647,1241
2000,mlp,20260913,CD4 Monocyte-4,1405,35,955,879,56,132
2000,mlp,20260913,CD56 NK,38442,40,27637,28175,3053,2515
2000,mlp,20260913,CD8 + CTL-1,7303,40,3844,3942,651,553
2000,mlp,20260913,CD8 + CTL-2,4049,33,1001,1232,587,356
2000,mlp,20260913,CD8 + CTL-3,3244,27,696,1054,548,190
2000,mlp,20260913,CD8 Tem-1,26714,40,16177,16845,3263,2595
2000,mlp,20260913,CD8 Tem-2,10548,40,6946,6806,640,780
2000,mlp,20260913,Cycling T,3667,40,1888,1927,272,233
2000,mlp,20260913,Erythrocyte,65,6,5,4,1,2
2000,mlp,20260913,GCB,3283,31,2024,2119,390,295
