scope,bundle_id,outer_fold,seed,patient_budget,cell_cap,model,task,accuracy,balanced_accuracy,fit_time_sec,inference_time_sec,macro_f1,n_evaluation_classes,n_observed_training_classes,n_train_cells,n_test_cells,peak_rss_mb
outer_fold,fold3_seed18_P32_C100_xgboost,3,18,32,100,xgboost,coarse,0.983184681787538,0.8379632782527848,2.2167221680283546,2.2648060163483024,0.8675046717913346,5,5,3200,258098,3358.2109375
outer_fold,fold3_seed18_P32_C100_xgboost,3,18,32,100,xgboost,fine,0.7569140404032577,0.40545827360983794,13.240438994951546,14.063103158026934,0.440397879336705,30,27,3200,258098,3358.2109375
outer_fold,fold3_seed19_P32_C100_logistic_regression,3,19,32,100,logistic_regression,coarse,0.9816387573712311,0.924757225263531,0.1274138893932104,0.11687371600419283,0.9332181281364909,5,5,3200,258098,3051.3671875
outer_fold,fold3_seed19_P32_C100_logistic_regression,3,19,32,100,logistic_regression,fine,0.6771613883098668,0.5094469704699863,0.9428752167150378,0.21787874773144722,0.5208372596989294,30,27,3200,258098,3051.3671875
outer_fold,fold3_seed19_P32_C100_xgboost,3,19,32,100,xgboost,coarse,0.9821385675208641,0.8483253150750002,2.1841893829405308,2.1125313378870487,0.8808272123368301,5,5,3200,258098,3360.0546875
outer_fold,fold3_seed19_P32_C100_xgboost,3,19,32,100,xgboost,fine,0.7564723477128843,0.42681605490224606,13.272966681979597,13.905443565919995,0.45877462721954837,30,27,3200,258098,3360.0546875
outer_fold,fold3_seed00_P32_C200_logistic_regression,3,0,32,200,logistic_regression,coarse,0.9790389696936822,0.9038803250052382,0.32762496918439865,0.11111980862915516,0.9217738180158911,5,5,6400,258098,3054.26171875
outer_fold,fold3_seed00_P32_C200_logistic_regression,3,0,32,200,logistic_regression,fine,0.6821788622926175,0.5506556149846934,2.171252050437033,0.21537616103887558,0.5571035232729309,30,29,6400,258098,3054.26171875
outer_fold,fold3_seed00_P32_C200_xgboost,3,0,32,200,xgboost,coarse,0.9841455571139645,0.8527489773667544,4.469733790494502,2.52828935906291,0.8833595783200545,5,5,6400,258098,3388.68359375
outer_fold,fold3_seed00_P32_C200_xgboost,3,0,32,200,xgboost,fine,0.7736789901510279,0.4616631193983723,29.040063383057714,18.26950278878212,0.4977013736127256,30,29,6400,258098,3388.68359375
outer_fold,fold3_seed01_P32_C200_logistic_regression,3,1,32,200,logistic_regression,coarse,0.9810924532541903,0.922939729450418,0.3139125341549516,0.11393785942345858,0.9379334388319951,5,5,6400,258098,3062.859375
outer_fold,fold3_seed01_P32_C200_logistic_regression,3,1,32,200,logistic_regression,fine,0.6834341994126262,0.5280183592202929,2.815275041386485,0.21847068052738905,0.5430855749765172,30,30,6400,258098,3062.859375
outer_fold,fold3_seed01_P32_C200_xgboost,3,1,32,200,xgboost,coarse,0.9840138242063092,0.8608474873188484,4.331586775369942,2.4607090428471565,0.8941416108999294,5,5,6400,258098,3341.97265625
outer_fold,fold3_seed01_P32_C200_xgboost,3,1,32,200,xgboost,fine,0.773818472053251,0.46835871719424726,27.375141211785376,18.848264849744737,0.5112199795242753,30,30,6400,258098,3341.97265625
outer_fold,fold3_seed02_P32_C200_logistic_regression,3,2,32,200,logistic_regression,coarse,0.9817433687978985,0.9233589105075781,0.2898472659289837,0.11258449498564005,0.9322378065896885,5,5,6400,258098,3073.078125
outer_fold,fold3_seed02_P32_C200_logistic_regression,3,2,32,200,logistic_regression,fine,0.6763361203883796,0.5208549339518685,2.2485981034114957,0.2150847865268588,0.5245405727444348,30,29,6400,258098,3073.078125
outer_fold,fold3_seed02_P32_C200_xgboost,3,2,32,200,xgboost,coarse,0.9840680671682849,0.8890664308980748,4.456762581132352,2.4993821065872908,0.9162483137463834,5,5,6400,258098,3392.609375
outer_fold,fold3_seed02_P32_C200_xgboost,3,2,32,200,xgboost,fine,0.76988198281273,0.47452391322625115,29.825003345496953,18.597453960217535,0.5135214797340644,30,29,6400,258098,3392.609375
outer_fold,fold3_seed03_P32_C200_logistic_regression,3,3,32,200,logistic_regression,coarse,0.9814605304961681,0.9241516017613431,0.27435169741511345,0.11819333489984274,0.9368446920796922,5,5,6400,258098,3073.85546875
outer_fold,fold3_seed03_P32_C200_logistic_regression,3,3,32,200,logistic_regression,fine,0.6774248541251773,0.5410450265854575,2.229777385480702,0.21294072549790144,0.5497492271328067,30,29,6400,258098,3073.85546875
outer_fold,fold3_seed03_P32_C200_xgboost,3,3,32,200,xgboost,coarse,0.9843431564754473,0.851608414558183,4.454560214653611,2.5788923716172576,0.8832112733650253,5,5,6400,258098,3313.609375
outer_fold,fold3_seed03_P32_C200_xgboost,3,3,32,200,xgboost,fine,0.7641089818596037,0.4498325768146098,26.06896212231368,17.45190029591322,0.4903325765638253,30,29,6400,258098,3313.609375
outer_fold,fold3_seed04_P32_C200_logistic_regression,3,4,32,200,logistic_regression,coarse,0.9788219978457795,0.9249561668541215,0.3449262147769332,0.11640782747417688,0.9371422859291852,5,5,6400,258098,3064.296875
outer_fold,fold3_seed04_P32_C200_logistic_regression,3,4,32,200,logistic_regression,fine,0.678327611992344,0.5443007102295877,2.1528083169832826,0.2003255682066083,0.5508063130652308,30,28,6400,258098,3064.296875
outer_fold,fold3_seed04_P32_C200_xgboost,3,4,32,200,xgboost,coarse,0.9830878193554387,0.8595350624699215,4.424786335788667,2.4435146851465106,0.8934084374342856,5,5,6400,258098,3374.0859375
outer_fold,fold3_seed04_P32_C200_xgboost,3,4,32,200,xgboost,fine,0.771439530720889,0.47264301272792264,25.818855246528983,16.38179771695286,0.505400203106854,30,28,6400,258098,3374.0859375
outer_fold,fold3_seed05_P32_C200_logistic_regression,3,5,32,200,logistic_regression,coarse,0.9778494990275012,0.9199514598523599,0.25354796461761,0.11684245150536299,0.9339160182048838,5,5,6400,258098,3063.40234375
outer_fold,fold3_seed05_P32_C200_logistic_regression,3,5,32,200,logistic_regression,fine,0.6774364776170292,0.5430430070478836,2.245768951252103,0.19562547747045755,0.5407847356901959,30,28,6400,258098,3063.40234375
outer_fold,fold3_seed05_P32_C200_xgboost,3,5,32,200,xgboost,coarse,0.9833125401979094,0.8685326179540276,4.554602801799774,2.605066425167024,0.9003605358633221,5,5,6400,258098,3361.73828125
outer_fold,fold3_seed05_P32_C200_xgboost,3,5,32,200,xgboost,fine,0.7697153794295191,0.48907115068973733,25.587981957942247,16.366158224642277,0.5342931739058648,30,28,6400,258098,3361.73828125
outer_fold,fold3_seed06_P32_C200_logistic_regression,3,6,32,200,logistic_regression,coarse,0.98012770343048,0.9251250736016777,0.24556092359125614,0.11906174756586552,0.9386210692613799,5,5,6400,258098,3091.55859375
outer_fold,fold3_seed06_P32_C200_logistic_regression,3,6,32,200,logistic_regression,fine,0.6757278243147952,0.5188085486101434,2.3969709603115916,0.21862526144832373,0.5321481651056004,30,29,6400,258098,3091.55859375
