seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
8,8,800,xgboost,coarse,0.9846973825062444,0.892198001647745,0.8590495896067696,0.9844502296456278,0.8935430123475007,0.8603369543725531,0.8675405894809682,0.7596476104406287,0.8739482837391244,0.5101645062644439,5.0,5,5,925,1199468
8,8,800,xgboost,fine,0.7631991849720042,0.4906362869680017,0.4552765159355426,0.7647590966956455,0.49120199665774444,0.4555499154350689,0.4100053711288367,0.7596476104406287,0.8739482837391244,0.5101645062644439,28.6,28,5,925,1199468
9,8,800,logistic_regression,coarse,0.9792149519620365,0.9138892674712512,0.8937926851305911,0.9787581702886033,0.9136156524259134,0.8936284092740602,0.8807606364764429,0.6683863179342842,0.8265105863599529,0.7060463472139316,5.0,5,5,925,1199468
9,8,800,logistic_regression,fine,0.6738062207578693,0.5215103171115733,0.4999527756900275,0.6743799593388925,0.5217220621004107,0.5000606051193935,0.41787678967677194,0.6683863179342842,0.8265105863599529,0.7060463472139316,27.6,26,5,925,1199468
9,8,800,xgboost,coarse,0.9841738170588961,0.8876893149897551,0.8554222640823828,0.9839200206629232,0.8872176037416264,0.8550209344171078,0.8553721945076876,0.7575283375629862,0.8725818446177805,0.5154768614085578,5.0,5,5,925,1199468
9,8,800,xgboost,fine,0.760989872176665,0.4900574214599905,0.44558504079514843,0.7621948808484165,0.4890513302538277,0.4445023018477456,0.40361595739464023,0.7575283375629862,0.8725818446177805,0.5154768614085578,27.6,26,5,925,1199468
10,8,800,logistic_regression,coarse,0.9821120696842267,0.9287490391165576,0.9233735868674084,0.9818003486813544,0.9286366420249987,0.9235348829656067,0.9013284028759045,0.6841733168371311,0.8354628885472559,0.6705239322766426,5.0,5,5,925,1199468
10,8,800,logistic_regression,fine,0.6888137074102852,0.5452043166091696,0.5297731549761305,0.6895022430914575,0.5452302128348152,0.5299028765071979,0.43529908939061024,0.6841733168371311,0.8354628885472559,0.6705239322766426,28.4,27,5,925,1199468
10,8,800,xgboost,coarse,0.984737400247443,0.8972487166621269,0.8639367447126777,0.9845141416983114,0.8974629930531011,0.8641601423587847,0.8674398052300436,0.758582138081216,0.8732642304755108,0.5120536771301943,5.0,5,5,925,1199468
10,8,800,xgboost,fine,0.7617910607035786,0.4873990193256121,0.4519645059751628,0.7635156364542197,0.4873344290749563,0.45185125009103116,0.41013200446434733,0.758582138081216,0.8732642304755108,0.5120536771301943,28.4,27,5,925,1199468
11,8,800,logistic_regression,coarse,0.9807481316717078,0.9323450268895224,0.9255087841833799,0.9804507041167929,0.9321092250236882,0.925142586681907,0.9030695036616854,0.6732901586369957,0.8293885289144854,0.6958084750906235,5.0,5,5,925,1199468
11,8,800,logistic_regression,fine,0.6780289261572631,0.5477277151675992,0.5355368877713685,0.6788626548282289,0.5468618734373784,0.5347584390314846,0.4315599655861627,0.6732901586369957,0.8293885289144854,0.6958084750906235,28.0,26,5,925,1199468
11,8,800,xgboost,coarse,0.9841471385647637,0.9064769424540684,0.8743863998203985,0.9839492454401603,0.9067536652619221,0.8746609136310802,0.8775301710985786,0.7582745016957518,0.8729099067253149,0.5139495176194779,5.0,5,5,925,1199468
