seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
17,32,400,logistic_regression,fine,0.1404729789492305,0.09520489931825003,0.12640560751356725,0.14513700876277671,0.09127081412537345,0.12410875309433529,0.054193008720912164,0.09588658676808774,0.2525138753759066,2.914155094640014,27.0,27,5,40,361792
17,32,400,xgboost,coarse,0.4982254997346542,0.292405425026215,0.3017967622933826,0.5118169961426802,0.2970076428060219,0.30294775358274617,0.26972022555750935,0.20871937466831772,0.39918931319653284,2.4915255174243764,5.0,5,5,40,361792
17,32,400,xgboost,fine,0.3001531266584115,0.10214371802948066,0.10607590846998499,0.31437845723111635,0.09957853780445149,0.10179579333331384,0.059707843972413924,0.20871937466831772,0.39918931319653284,2.4915255174243764,27.0,27,5,40,361792
18,32,400,logistic_regression,coarse,0.36120754466654875,0.29752851248855816,0.34712469218716807,0.37609910243479455,0.29777421996716286,0.3409065918208721,0.26332907992485655,0.09551344418892624,0.249889439235804,2.921822483637007,5.0,5,5,40,361792
18,32,400,logistic_regression,fine,0.13857133380505926,0.0942315594851987,0.12775490382802687,0.1442704048691737,0.09147971693833974,0.12609482397062982,0.05298584607673793,0.09551344418892624,0.249889439235804,2.921822483637007,26.6,26,5,40,361792
18,32,400,xgboost,coarse,0.4980734786838847,0.2921566403919021,0.3005391214010011,0.5119695827205526,0.29624437382072155,0.30184174803380365,0.26753527743788463,0.2093661551388643,0.3988203166460287,2.487368432690607,5.0,5,5,40,361792
18,32,400,xgboost,fine,0.2995671546081726,0.09975873883847149,0.10466465726342324,0.31409577894276486,0.09761356139963945,0.10106963469059196,0.05759304195477215,0.2093661551388643,0.3988203166460287,2.487368432690607,26.6,26,5,40,361792
19,32,400,logistic_regression,coarse,0.3602069697505749,0.2961890792229155,0.3497863744741307,0.3727047116678718,0.2953468531402139,0.34122645902207827,0.26280004205067364,0.09589487882540244,0.2496462055545728,2.9205123385812843,5.0,5,5,40,361792
19,32,400,logistic_regression,fine,0.13908544135857068,0.09485818680776996,0.1281869290998297,0.1466037642473641,0.09199759910209139,0.12663816971516184,0.05487835212263218,0.09589487882540244,0.2496462055545728,2.9205123385812843,26.8,26,5,40,361792
19,32,400,xgboost,coarse,0.4979325137095348,0.29053952298955965,0.30009138953676046,0.5128322516694277,0.297987370911507,0.30334746345279096,0.27032226401958753,0.2025058597205024,0.3971992194410048,2.5013433132849814,5.0,5,5,40,361792
19,32,400,xgboost,fine,0.2964659251724748,0.10134482130443476,0.10500024520183136,0.312682979223806,0.0999181184918054,0.10207287155402686,0.05833374313535004,0.2025058597205024,0.3971992194410048,2.5013433132849814,26.8,26,5,40,361792
