level,label,method,mae,bias,prevalence,centered_mae
subtype,CD8 Tem-2,direct,0.009927517434547735,0.00021735613527643153,0.022675966085007056,0.009894914014256271
subtype,Cycling T,constant,0.006451157628893081,-1.5612511283791264e-18,0.013141000270277824,0.006451157628893081
subtype,Cycling T,soft,0.006762364905021236,-0.0011025772784082086,0.013141000270277824,0.006717480441179599
subtype,Cycling T,direct,0.004789117950224439,-0.00042583799509093737,0.013141000270277824,0.004788422787794976
subtype,Erythrocyte,constant,0.00026134659559914333,-1.6263032587282566e-20,0.00014176807970281503,0.00026134659559914333
subtype,Erythrocyte,soft,0.00015163554822932268,-0.0001209634316418622,0.00014176807970281503,0.0002451401441613169
subtype,Erythrocyte,direct,0.00024232934904000404,-2.4016443021322252e-05,0.00014176807970281503,0.000262743325608128
subtype,GCB,constant,0.006315979856605707,1.7347234759768072e-19,0.004292649282146203,0.006315979856605707
subtype,GCB,soft,0.004328237006667096,0.001304972402111391,0.004292649282146203,0.004771110342339131
subtype,GCB,direct,0.002994733924750996,0.0001313523471674157,0.004292649282146203,0.0030291407717457784
subtype,Memory B-1,constant,0.03460011640632156,4.5102810375396986e-18,0.06204010537589002,0.034600116406321546
subtype,Memory B-1,soft,0.032239945016994474,0.002733259506690859,0.06204010537589002,0.031678341748104036
subtype,Memory B-1,direct,0.03624316515934149,0.0023413580622103055,0.06204010537589002,0.03563913507018786
subtype,Memory B-2,constant,0.00406678496353142,1.7347234759768072e-19,0.0031112585245875214,0.00406678496353142
subtype,Memory B-2,soft,0.0014731861780294142,-0.0008115829658774182,0.0031112585245875214,0.001753311296288226
subtype,Memory B-2,direct,0.0015373201200824017,-2.0924486633727267e-05,0.0031112585245875214,0.0015394125687457744
subtype,Naive T,constant,0.03116810310285939,-4.8572257327350596e-18,0.029802692694269155,0.03116810310285939
subtype,Naive T,soft,0.010599483025435364,-0.0008208952206871188,0.029802692694269155,0.010700584015894127
subtype,Naive T,direct,0.010293113478018165,0.000606720490798018,0.029802692694269155,0.010225369450940656
subtype,Plasma,constant,0.006500937537491725,2.6020852139652105e-19,0.008243094863291923,0.006500937537491725
subtype,Plasma,soft,0.004831278116521995,-0.0026206170637956424,0.008243094863291923,0.004812628711550399
subtype,Plasma,direct,0.005914512674933406,-0.00032334281277687576,0.008243094863291923,0.005934905200455026
subtype,Tcm,constant,0.012737708792531537,-3.469446951953614e-18,0.007057020322196355,0.01273770879253154
subtype,Tcm,soft,0.008352500219133538,-0.004852587417498663,0.007057020322196355,0.012336235821739611
subtype,Tcm,direct,0.01611992068786524,0.003545070208875592,0.007057020322196355,0.016959393288837672
subtype,cDC2,constant,0.01287952407472508,-1.7347234759768072e-19,0.024328030167202166,0.012879524074725073
subtype,cDC2,soft,0.01818628047107428,0.0005675230126869505,0.024328030167202166,0.018214656621708625
subtype,cDC2,direct,0.012712852207483982,-0.0018198912518504278,0.024328030167202166,0.012954084162964775
subtype,pDC,constant,0.005599763378227121,2.168404344971009e-18,0.008476629521159882,0.005599763378227121
subtype,pDC,soft,0.004377582320727562,-0.0021401918438263357,0.008476629521159882,0.004577247174770849
subtype,pDC,direct,0.004927282624046009,-0.0004155674529710855,0.008476629521159882,0.005010396114640226
subtype,platelet,constant,0.002490973764029964,2.168404344971009e-19,0.002945693699934735,0.002490973764029964
subtype,platelet,soft,0.0018800675578459762,-0.0012036217850022973,0.002945693699934735,0.001892824754399803
subtype,platelet,direct,0.0020616765141382885,4.613547964413957e-05,0.002945693699934735,0.0020616765141382885
