model,seed,scope,patient,cells,correct,cross,within,oracle_correct,fixed_mass,cross_among_errors,cross_among_errors_n,repair_among_cross,repair_among_cross_n,fine_cross_given_coarse_correct,fine_cross_given_coarse_correct_n,fine_cross_given_coarse_wrong,fine_cross_given_coarse_wrong_n
mlp,17,-1,PBMC-2,16302,0.22819285977180714,0.5436142804563857,0.22819285977180714,0.5201202306465464,0.2919273708747393,0.7043395326657129,12582,0.5370119611825773,8862,0.1656647560464141,7153,0.8391080992458192,9149
mlp,17,-1,PBMC-3,21398,0.2731563697541826,0.6245443499392467,0.1022992803065707,0.5557528741003832,0.2825965043462006,0.8592554491094966,15553,0.4524842861418737,13364,0.3676682346164923,10417,0.8682269374373919,10981
mlp,17,-1,PBMC-4,22627,0.30406151942369736,0.5582710920581606,0.13766738851814203,0.5363061828788616,0.23224466345516417,0.8021845430875723,15747,0.4160069664344522,12632,0.288433908045977,11136,0.8197719954747194,11491
mlp,17,-1,PBMC-5,19153,0.3615621573643816,0.4215005482169895,0.21693729441862894,0.595624706312327,0.23406254894794548,0.6602060843964671,12228,0.5553078161773813,8073,0.23347715238282016,10198,0.6356225572305975,8955
mlp,17,-1,PBMC-6,15164,0.3412028488525455,0.5151675019783698,0.14362964916908466,0.5395673964653126,0.1983645476127671,0.781981981981982,9990,0.38504864311315923,7812,0.37390904915020673,8708,0.7057001239157373,6456
mlp,17,-1,PC-1,17977,0.30110697001724424,0.561606497190855,0.13728653279190076,0.7225899760805473,0.42148300606330313,0.8035657433938236,12564,0.7504952456418383,10096,0.18677884615384616,8320,0.884539712125919,9657
mlp,17,-1,PC-2,1929,0.28252980819077245,0.4774494556765163,0.24002073613271124,0.6044582685329186,0.32192846034214617,0.6654624277456648,1384,0.6742671009771987,921,0.05048543689320388,1030,0.9666295884315906,899
mlp,17,-1,PC-3,4981,0.3310580204778157,0.4414776149367597,0.2274643645854246,0.675567155189721,0.34450913471190525,0.6599639855942377,3332,0.7803547066848567,2199,0.06238795267120832,2789,0.9238138686131386,2192
mlp,17,-1,PC-4,2060,0.30436893203883497,0.6378640776699029,0.05776699029126214,0.6854368932038835,0.38106796116504854,0.9169574319609212,1433,0.5974124809741248,1314,0.3025568181818182,704,0.8119469026548672,1356
mlp,17,-1,PC-5,3977,0.3397032939401559,0.36132763389489564,0.29896907216494845,0.5916519989942167,0.25194870505406086,0.5472201066260473,2626,0.697286012526096,1437,0.04499799116110888,2489,0.8904569892473119,1488
mlp,17,-1,PC-6,6890,0.34600870827285923,0.4040638606676343,0.24992743105950654,0.5785195936139332,0.23251088534107403,0.6178428761651131,4506,0.5754310344827587,2784,0.07013469577333953,4306,0.9605263157894737,2584
mlp,17,-1,PRZ1,8750,0.29725714285714283,0.5664,0.13634285714285715,0.756,0.4587428571428571,0.8059847129614571,6149,0.8099273607748184,4956,0.07566569997363565,3793,0.9419003429493645,4957
mlp,17,-1,PRZ2,12428,0.3853395558416479,0.45485999356292245,0.1598004505954297,0.7044576762149984,0.3191181203733505,0.7400183270061527,7639,0.7015743852821511,5653,0.13420689655172413,7250,0.9038238702201622,5178
mlp,17,-1,PRZ3,9117,0.40111878907535375,0.4378633322364813,0.16101787868816497,0.6961719863990348,0.295053197323681,0.7311355311355311,5460,0.6738476953907816,3992,0.16129636568002997,5338,0.8285260650965864,3779
mlp,17,-1,PRZ4,7719,0.38010104935872524,0.46184738955823296,0.15805156108304186,0.7107138230340718,0.3306127736753465,0.7450365726227796,4785,0.7158485273492287,3565,0.2475288303130148,4856,0.8253580160670625,2863
mlp,17,-1,PRZ5,12944,0.28785537700865266,0.6107076637824475,0.10143695920889988,0.6996291718170581,0.4117737948084054,0.8575612931221523,9218,0.6742567994939912,7905,0.16503233882745671,4793,0.872776346460557,8151
mlp,17,-1,PRZ6,8748,0.306241426611797,0.529835390946502,0.16392318244170095,0.6635802469135802,0.35733882030178327,0.7637172516065249,6069,0.6744336569579288,4635,0.15086906141367323,4315,0.8987141890367697,4433
mlp,17,0,CRC11,324,0.012345679012345678,0.9876543209876543,0.0,0.7932098765432098,0.7808641975308642,1.0,320,0.790625,320,0.0,2,0.9937888198757764,322
mlp,17,0,CRC13,209,0.1722488038277512,0.8229665071770335,0.004784688995215311,0.9234449760765551,0.7511961722488039,0.9942196531791907,173,0.9127906976744186,172,0.0,27,0.945054945054945,182
mlp,17,0,CRC16,167,0.059880239520958084,0.9341317365269461,0.005988023952095809,0.8562874251497006,0.7964071856287425,0.9936305732484076,157,0.8525641025641025,156,0.15384615384615385,13,1.0,154
mlp,17,0,CRC17,269,0.02973977695167286,0.9628252788104089,0.007434944237918215,0.7992565055762082,0.7695167286245354,0.9923371647509579,261,0.7992277992277992,259,0.0,9,0.9961538461538462,260
mlp,17,0,CRC22,213,0.20187793427230047,0.7981220657276995,0.0,0.8028169014084507,0.6009389671361502,1.0,170,0.7529411764705882,170,0.0,29,0.9239130434782609,184
mlp,17,0,CRC23,91,0.10989010989010989,0.8901098901098901,0.0,0.8901098901098901,0.7802197802197802,1.0,81,0.8765432098765432,81,0.0,9,0.9878048780487805,82
mlp,17,0,CRC24,238,0.07983193277310924,0.9201680672268907,0.0,0.8739495798319328,0.7941176470588235,1.0,219,0.863013698630137,219,0.07692307692307693,13,0.9688888888888889,225
mlp,17,0,CRC25,501,0.08582834331337326,0.906187624750499,0.007984031936127744,0.7584830339321357,0.6726546906187625,0.9912663755458515,458,0.7422907488986784,454,0.0,34,0.9721627408993576,467
mlp,17,0,GC28_P_cDNA,337,0.2403560830860534,0.7507418397626113,0.008902077151335312,0.9050445103857567,0.6646884272997032,0.98828125,256,0.8853754940711462,253,0.0,76,0.9693486590038314,261
mlp,17,0,GC29_P_cDNA,225,0.0044444444444444444,0.9955555555555555,0.0,0.9511111111111111,0.9466666666666667,1.0,224,0.9508928571428571,224,,0,0.9955555555555555,225
mlp,17,0,GC2_P_cDNA,226,0.048672566371681415,0.9469026548672567,0.004424778761061947,0.8053097345132744,0.7566371681415929,0.9953488372093023,215,0.7990654205607477,214,0.0,10,0.9907407407407407,216
mlp,17,0,GC30_P_cDNA,400,0.0275,0.965,0.0075,0.9275,0.9,0.9922879177377892,389,0.9326424870466321,386,0.0,5,0.9772151898734177,395
mlp,17,0,GC31_P_cDNA,939,0.024494142705005325,0.9744408945686901,0.0010649627263045794,0.9361022364217252,0.9116080937167199,0.9989082969432315,916,0.9355191256830601,915,0.0,20,0.9956474428726877,919
mlp,17,0,GC32_P_cDNA,713,0.14446002805049088,0.8274894810659187,0.028050490883590462,0.8555399719495091,0.7110799438990182,0.9672131147540983,610,0.8593220338983051,590,0.0,103,0.9672131147540983,610
