model,seed,scope,metric,mean,eligible_patients
hce,43,0,fine_cross_given_coarse_correct,0.00905521755919424,40
hce,43,0,fine_cross_given_coarse_wrong,0.9747611905793425,40
hce,43,1,correct,0.26209136526332133,40
hce,43,1,cross,0.4956801057888196,40
hce,43,1,within,0.2422285289478591,40
hce,43,1,oracle_correct,0.4615197224657848,40
hce,43,1,fixed_mass,0.19942835720246344,40
hce,43,1,cross_among_errors,0.6130933157029512,40
hce,43,1,repair_among_cross,0.40325861137019425,40
hce,43,1,fine_cross_given_coarse_correct,0.11314187063462303,40
hce,43,1,fine_cross_given_coarse_wrong,0.9917715690259342,40
hce,43,2,correct,0.4047547665554997,40
hce,43,2,cross,0.5543256001545972,40
hce,43,2,within,0.04091963328990308,40
hce,43,2,oracle_correct,0.9092647907915812,40
hce,43,2,fixed_mass,0.5045100242360814,40
hce,43,2,cross_among_errors,0.8852731899854843,40
hce,43,2,repair_among_cross,0.8923803629702973,40
hce,43,2,fine_cross_given_coarse_correct,0.000285762192200824,40
hce,43,2,fine_cross_given_coarse_wrong,0.6925242187487239,40
hce,43,3,correct,0.01513848906883403,38
hce,43,3,cross,0.9848615109311659,38
hce,43,3,within,0.0,38
hce,43,3,oracle_correct,0.9885789018584962,38
hce,43,3,fixed_mass,0.9734404127896622,38
hce,43,3,cross_among_errors,1.0,38
hce,43,3,repair_among_cross,0.9884597142350434,38
hce,43,3,fine_cross_given_coarse_correct,0.0,7
hce,43,3,fine_cross_given_coarse_wrong,0.9945159366154329,38
hce,43,4,correct,0.3461853258855421,40
hce,43,4,cross,0.4242106528652975,40
hce,43,4,within,0.22960402124916035,40
hce,43,4,oracle_correct,0.5479161576296464,40
hce,43,4,fixed_mass,0.2017308317441043,40
hce,43,4,cross_among_errors,0.6045792442444099,40
hce,43,4,repair_among_cross,0.5054314476254026,40
hce,43,4,fine_cross_given_coarse_correct,0.27019281490991154,40
hce,43,4,fine_cross_given_coarse_wrong,0.9147125626256324,40
cascade,17,-1,correct,0.33412066471510543,40
cascade,17,-1,cross,0.48814802413122554,40
cascade,17,-1,within,0.17773131115366902,40
cascade,17,-1,oracle_correct,0.6452295618407861,40
cascade,17,-1,fixed_mass,0.31110889712568063,40
cascade,17,-1,cross_among_errors,0.732045841688149,40
cascade,17,-1,repair_among_cross,0.6447024484610813,40
