model,seed,decoding,subtype,parent,cells,patient_coverage,sb_per_class_f1,largest_error_target,largest_error_mass
flat,43,ordinary,cDC2,1,7376,40,0.10394141019723824,CD4 + Tcm-1,0.38841699186434164
flat,43,ordinary,pDC,1,2615,40,0.03926272071459771,CD4 + Tcm-1,0.1625230484851213
flat,43,ordinary,platelet,3,1574,38,0.05748586243677582,CD56 NK,0.0412237594717013
flat,43,oracle,Atypical Memory B,0,781,34,0.323640192793968,Memory B-1,0.027412978308492108
flat,43,oracle,CD14 Monocyte-1,1,29871,40,0.6144502288715505,CD16 Monocyte-1,0.7427684955056484
flat,43,oracle,CD14 Monocyte-2,1,3931,40,0.18290527603954757,CD14 Monocyte-1,0.38928807989440606
flat,43,oracle,CD14 Monocyte-3,1,2977,32,0.34890436486536214,CD14 Monocyte-1,0.08008750678136234
flat,43,oracle,CD16 Monocyte-1,1,14678,40,0.43121399601796717,CD14 Monocyte-1,0.8281771880749903
flat,43,oracle,CD16 Monocyte-2,1,5142,40,0.1769603912598985,CD14 Monocyte-1,0.25177535124647465
flat,43,oracle,CD16 NK,2,58507,40,0.9367795357501718,CD56 NK,0.3523228492380074
flat,43,oracle,CD4 + Tcm-1,4,70653,40,0.7213271618278916,CD8 Tem-1,1.1075363487639607
flat,43,oracle,CD4 + Tcm-2,4,16861,39,0.40587743613394756,CD4 + Tcm-1,0.22824711428796102
flat,43,oracle,CD4 Monocyte-4,1,1405,35,0.01413822801517954,CD14 Monocyte-1,0.07226637898402091
