model,rank,true_subtype,predicted_subtype,mass,per_seed_mass,true_cells,true_patients
mlp,130,Plasma,Atypical Memory B,0.002315491002057394,"[0.002205327101303285, 0.001976322045402824, 0.0027648238594660734]",2173,40
mlp,131,CD8 + CTL-2,CD8 + CTL-1,0.0023022415285018894,"[0.00202837600373542, 0.0036555744168342156, 0.0012227741649360328]",4049,33
mlp,132,Erythrocyte,platelet,0.002269677441284469,"[0.0021469931080738197, 0.002892051799460912, 0.0017699874163186746]",65,6
mlp,133,CD8 Tem-2,CD8 + CTL-1,0.0020439521445926147,"[0.00188595273278161, 0.003185639092904562, 0.0010602646080916716]",10548,40
mlp,134,CD8 + CTL-3,CD8 + CTL-2,0.0015124699293484454,"[0.0006678635775239511, 0.0030949866114585466, 0.0007745595990628381]",3244,27
mlp,135,GCB,Plasma,0.0015021772101642867,"[0.0017700316939851975, 0.0007131630615165486, 0.002023336874991114]",3283,31
mlp,136,Tcm,CD8 + CTL-1,0.0013082585322841634,"[0.0021396095212623694, 0.00044791012480113957, 0.001337255950788981]",2121,36
mlp,137,Tcm,CD8 Tem-2,0.0013016166575381511,"[0.0007119526614042065, 0.0001337255950788981, 0.003059171716131349]",2121,36
mlp,138,CD8 + CTL-2,CD8 + CTL-3,0.0012836410512701664,"[0.0021096949756604167, 0.0010726002027555916, 0.0006686279753944905]",4049,33
mlp,139,CD8 + CTL-3,Cycling T,0.0009876746839574443,"[0.0007518168927645029, 0.0012597014039240953, 0.0009515057551837346]",3244,27
mlp,140,Cycling T,Tcm,0.0009854260671127016,"[0.0012447487163528862, 0.0009335615372646647, 0.0007779679477205539]",3667,40
mlp,141,Memory B-2,Plasma,0.000978827988329996,"[0.0012993389491513748, 0.0006171731964335898, 0.0010199718194050234]",2130,33
mlp,142,pDC,CD14 Monocyte-3,0.0009592627179490399,"[0.0006913088070018688, 0.001003565638767898, 0.0011829137080773525]",2615,40
mlp,143,Plasma,GCB,0.0008357176111819861,"[0.0006298249967526585, 0.0011859877757727896, 0.00069134006102051]",2173,40
mlp,144,Tcm,Cycling T,0.0008157215113441387,"[0.0005990804444160674, 0.0011194531852961492, 0.0007286309043202]",2121,36
mlp,145,CD14 Monocyte-3,CD14 Monocyte-2,0.0007869560257521732,"[0.0006389817304715961, 0.00036269908149195583, 0.0013591872652929677]",2977,32
mlp,146,GCB,Memory B-2,0.0007781597916453638,"[0.0014813407938985476, 0.00035182350045541975, 0.0005013150805821234]",3283,31
mlp,147,Cycling T,CD8 Tem-2,0.0007300241230706731,"[0.0007949334863679265, 0.0005590229503962053, 0.0008361159324478875]",3667,40
mlp,148,CD8 Tem-1,CD8 + CTL-2,0.0006358775397572207,"[0.0002784434506606356, 0.001219291907514451, 0.00040989726109657567]",26714,40
mlp,149,CD4 + Tcm-1,CD8 + CTL-1,0.000614560077311739,"[0.0006156061435575037, 0.00047933176276816975, 0.0007487423256095437]",70653,40
mlp,150,CD8 + CTL-3,CD8 Tem-1,0.0005644014562787096,"[0.0004646367020650071, 0.0006544691776717507, 0.0005740984890993709]",3244,27
