actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
32,9.817483996972442,1,0.23045425210148096,31.0,27,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,7,success,coarse,6400,0,10.218339911662042
32,70.88111395854503,1,1.4084970653057098,26.307692307692307,2,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,7,success,fine,6400,0,72.4611328355968
8,9.172940286807716,1,0.2195788649842143,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,7,success,coarse,6400,0,9.52069235034287
8,77.22787012532353,1,2.1098625138401985,7.358974358974359,2,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,7,success,fine,6400,0,79.68534442782402
16,9.731236653402448,1,0.23088185023516417,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,8,success,coarse,6400,0,10.110060330480337
16,70.37325976509601,1,1.3742595436051488,14.435897435897436,1,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,8,success,fine,6400,0,71.89449129998684
32,9.470511219464242,1,0.23788983840495348,32.0,32,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,8,success,coarse,6400,0,9.89349211845547
32,69.93012018222362,1,1.4104567859321833,27.46153846153846,1,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,8,success,fine,6400,0,71.51634185295552
8,8.96515270229429,1,0.2734002647921443,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,8,success,coarse,6400,0,9.365126680582762
8,69.46489230077714,1,1.3786834375932813,7.384615384615385,1,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,8,success,fine,6400,0,70.97358058951795
16,9.28828408755362,1,0.22707713209092617,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,9,success,coarse,6400,0,9.659611890092492
