donor_id,pool,sex,n_valid_cells
625_626,51,female,854
626_627,52,female,1134
627_628,52,female,1206
628_629,52,male,1082
629_630,52,male,1150
630_631,52,female,1121
632_633,54,male,928
633_634,54,female,1004
634_635,52,male,1031
635_636,52,female,870
636_637,49,male,834
637_638,49,male,1493
638_639,49,female,1665
639_640,50,male,1034
640_641,50,female,1004
641_642,50,male,1037
644_645,51,female,1572
645_646,50,male,1313
647_648,50,female,1379
648_649,50,female,850
649_650,50,male,1353
650_651,50,female,3511
652_653,50,female,955
653_654,53,male,1239
654_655,53,male,1367
655_656,53,male,1541
656_657,61,male,1281
657_658,53,male,1266
658_659,53,female,1468
659_660,53,female,1219
660_661,54,female,1469
661_662,2,male,1309
662_663,2,male,1287
663_664,2,female,1244
664_665,2,female,1328
665_666,3,female,1614
666_667,3,female,1890
667_668,3,male,1966
668_669,3,female,1891
669_670,3,male,1224
670_671,3,male,1201
672_673,4,male,1595
673_674,4,male,1130
674_675,4,female,1093
675_676,4,female,1301
676_677,4,female,1655
677_678,4,female,1597
678_679,4,male,1179
679_680,4,female,992
680_681,4,male,1528
681_682,4,female,1213
682_683,1,male,1170
683_684,1,male,1455
684_685,1,female,1033
685_686,1,female,1579
686_687,1,male,1278
687_688,1,female,1463
688_689,1,male,1552
689_690,1,male,1767
690_691,1,male,1435
691_692,1,male,1501
692_693,1,female,1297
693_694,1,female,1289
694_695,19,male,1390
695_696,2,female,904
696_697,2,female,1041
697_698,2,female,974
699_700,2,female,1557
700_701,2,female,2424
701_702,2,female,1200
702_703,2,female,1407
704_705,2,female,1151
705_706,3,female,1187
706_707,3,female,1323
707_708,3,male,1486
708_709,3,female,1479
709_710,3,male,1671
711_712,3,female,2170
714_715,6,female,1175
715_716,4,female,1160
716_717,4,male,1281
717_718,5,female,1286
718_719,5,female,947
719_720,4,female,1770
720_721,5,male,1119
721_722,5,male,922
722_723,5,female,1064
723_724,6,female,1171
724_725,6,female,1191
725_726,6,male,1123
726_727,6,female,953
727_728,7,female,1451
729_730,8,male,1164
730_731,8,male,1140
731_732,7,female,1199
732_733,7,female,1186
733_734,8,female,876
734_735,7,male,1241
735_736,7,female,1312
736_737,5,female,1212
737_738,5,female,867
740_741,5,female,1177
742_743,8,female,1072
743_744,5,female,1057
744_745,8,male,1786
745_746,8,male,1427
746_747,8,female,895
747_748,8,female,1381
748_749,8,male,1338
749_750,8,female,1310
751_752,39,female,1139
752_753,38,male,1918
753_754,27,female,822
754_755,27,male,1779
755_756,27,female,1701
756_757,27,male,891
758_759,27,male,1179
759_760,27,female,860
760_761,27,female,1448
761_762,27,female,1176
762_763,27,female,1599
764_765,28,female,3146
765_766,28,male,2621
766_767,28,male,1194
767_768,28,female,1890
769_770,27,female,935
770_771,27,female,863
771_772,28,male,1462
772_773,28,female,2415
773_774,28,female,2731
774_775,28,male,1729
776_777,28,male,870
779_780,29,male,1283
781_782,29,female,2256
782_783,29,female,1181
783_784,29,female,1660
784_785,29,female,1215
786_787,29,female,1719
787_788,29,female,1043
788_789,29,male,1349
789_790,29,male,1036
790_791,29,male,1349
791_792,29,male,2019
793_794,30,female,1470
794_795,9,male,933
795_796,9,female,1167
796_797,9,male,1215
797_798,9,female,1431
798_799,9,male,883
799_800,9,male,1161
800_801,9,female,1401
801_802,9,female,1203
802_803,14,male,1030
803_804,14,female,1180
804_805,14,male,1103
805_806,15,male,848
806_807,15,male,1208
807_808,15,female,932
808_809,15,female,1199
809_810,15,female,1605
810_811,12,female,1066
811_812,12,male,1200
812_813,12,female,1331
813_814,7,female,1352
814_815,9,female,1210
815_816,9,male,1164
816_817,7,female,1115
818_819,8,male,1944
819_820,7,female,1432
821_822,9,male,1374
822_823,9,female,1257
823_824,10,female,1987
824_825,10,male,1341
825_826,10,female,1950
826_827,10,female,1433
827_828,10,male,1559
829_830,10,male,2014
830_831,10,female,1986
831_832,10,female,1252
832_833,10,female,2216
834_835,11,male,1281
835_836,11,female,1478
836_837,11,male,1644
838_839,7,female,1243
839_840,8,female,1069
840_841,9,female,1565
842_843,10,female,1776
843_844,10,male,1378
845_846,11,male,1166
846_847,11,female,1493
847_848,11,female,1597
848_849,11,female,1380
849_850,11,female,1449
850_851,11,male,1169
851_852,11,female,1168
852_853,12,female,1289
853_854,13,female,1557
854_855,13,male,1344
855_856,13,female,1569
856_857,13,female,1562
857_858,13,female,1834
858_859,13,female,1255
859_860,13,female,1166
860_861,14,female,1243
861_862,14,female,1224
862_863,14,female,1431
863_864,14,male,1279
864_865,14,female,1464
865_866,14,female,1596
867_868,19,female,1850
868_869,19,female,1893
869_870,19,female,1070
870_871,38,female,1615
871_872,19,male,1512
872_873,19,female,1955
886_887,21,female,1599
887_888,21,male,1719
888_889,21,male,986
889_890,21,female,1199
890_891,14,female,1332
891_892,14,female,1455
892_893,15,female,1324
893_894,15,female,1450
894_895,16,male,1014
896_897,16,female,2051
898_899,16,female,1221
899_900,16,female,1286
900_901,16,female,1185
901_902,16,male,1241
902_903,17,male,1296
903_904,17,female,1174
904_905,17,female,1367
905_906,17,female,853
906_907,18,male,943
907_908,18,female,1130
908_909,18,female,1237
909_910,18,female,1566
910_911,18,female,1528
911_912,18,female,1484
912_913,18,male,1469
914_915,19,female,2091
915_916,19,female,1421
916_917,19,female,1422
917_918,19,male,1462
920_921,26,male,841
921_922,26,female,953
922_923,26,male,999
923_924,26,female,1737
924_925,26,female,1056
926_927,73,male,1554
927_928,73,female,1874
929_930,73,female,1572
930_931,73,female,1303
932_933,73,male,1950
933_934,73,male,2057
934_935,73,female,1515
935_936,73,male,1869
937_938,73,female,1219
938_939,74,male,923
941_942,74,female,1346
943_944,74,male,1142
944_945,74,female,1186
945_946,74,male,1105
946_947,74,female,1277
947_948,74,male,1734
949_950,74,male,1557
951_952,75,female,2103
952_953,75,male,974
953_954,75,male,1599
954_955,75,male,1231
955_956,75,male,1070
956_957,75,male,1886
957_958,75,male,1697
958_959,75,female,1408
959_960,75,female,1662
960_961,75,female,1122
961_962,75,female,1447
962_963,75,male,1614
968_969,5,male,1342
969_970,6,female,1213
970_971,5,female,1162
971_972,5,female,1265
972_973,6,female,1271
974_975,6,male,918
975_976,6,male,1051
976_977,6,female,919
977_978,6,female,1132
978_979,6,female,1289
980_981,7,female,955
981_982,7,male,1695
982_983,7,female,1246
983_984,8,female,1439
984_985,8,female,1286
985_986,11,female,1168
986_987,12,male,1194
987_988,13,female,1323
988_989,13,female,818
989_990,11,male,1329
990_991,11,female,1317
991_992,12,female,1220
992_993,12,female,959
993_994,12,male,1340
994_995,12,female,1652
995_996,12,female,1374
996_997,12,female,1719
997_998,11,male,1214
998_999,12,male,1288
999_1000,12,female,1298
1000_1001,13,female,1409
1001_1002,13,female,1543
1002_1003,13,male,1376
1003_1004,13,female,1633
1004_1005,13,female,1359
1005_1006,14,male,912
1007_1008,14,female,1092
1008_1009,15,male,2684
1009_1010,15,female,1119
1010_1011,15,female,1324
1011_1012,15,female,1236
1012_1013,15,female,1066
1014_1015,15,female,1093
1015_1016,16,male,1226
1016_1017,16,male,1493
1018_1019,16,female,1393
1019_1020,16,male,1435
1020_1021,16,female,822
1021_1022,16,female,1501
1022_1023,16,female,1058
1023_1024,16,female,878
1024_1025,17,female,1418
1025_1026,17,female,1583
1026_1027,17,female,1456
1027_1028,17,female,1193
1028_1029,17,female,1050
1029_1030,17,female,980
1030_1031,17,male,1297
1031_1032,17,female,1201
1032_1033,17,male,1467
1033_1034,17,female,1255
1034_1035,18,female,1588
1035_1036,18,female,1306
1036_1037,18,female,1262
1037_1038,18,male,1374
1038_1039,18,female,1217
1039_1040,18,female,945
1040_1041,18,female,1332
1041_1042,19,female,1385
1042_1043,19,female,1535
1043_1044,24,male,1080
1044_1045,24,female,1099
1045_1046,24,female,1276
1046_1047,24,female,1130
1047_1048,24,female,1593
1048_1049,24,female,1475
1049_1050,25,female,1261
1050_1051,25,male,822
1051_1052,25,female,1572
1052_1053,25,male,1229
1053_1054,25,female,1500
1054_1055,25,female,1188
1055_1056,25,female,1126
1056_1057,25,male,1186
1057_1058,25,male,1439
1058_1059,26,male,1002
1059_1060,26,male,1172
1060_1061,26,female,1180
1061_1062,26,female,936
1062_1063,27,female,990
1063_1064,26,male,1177
1064_1065,26,male,1182
1065_1066,26,female,1158
1066_1067,36,female,974
1068_1069,44,female,1550
1070_1071,36,female,1272
1071_1072,35,female,1136
1072_1073,34,female,1032
1073_1074,34,male,1325
1074_1075,47,female,1437
1075_1076,47,female,1338
1076_1077,47,male,1083
1077_1078,56,male,1104
1078_1079,57,male,1234
1079_1080,57,female,1300
1080_1081,57,female,1463
1081_1082,57,male,1228
