method,condition,task,comparison,estimate,low,high
context,natural,coarse,minus_equivariance,0.0014849564473777277,-0.015193079961382827,0.014732293989539106
context,composition,fine,minus_raw,0.001227940853789064,-0.007171045534989222,0.009546331779661788
context,composition,fine,minus_correction,-0.004338446414249103,-0.010658425788141232,0.0005135171441114302
context,composition,fine,minus_composition,-0.005245825830877349,-0.012386704503329817,0.0008137444909537875
context,composition,fine,minus_equivariance,-0.006189708241254921,-0.013786008342258748,7.821728806486286e-05
context,composition,coarse,minus_raw,0.014432161446972902,0.0012966306870006786,0.03157708803740207
context,composition,coarse,minus_correction,0.0027372642887812937,-0.011294993417416535,0.014803945796345006
context,composition,coarse,minus_composition,0.0024770494804663423,-0.010801216466858391,0.014536727317075402
context,composition,coarse,minus_equivariance,0.0014765983086423295,-0.01437638019628817,0.01505124748767802
context,shift,fine,minus_raw,-0.0008567860683362655,-0.007323376110289638,0.007557209502321319
context,shift,fine,minus_correction,-0.00608060687298205,-0.010996046037494031,-0.00012726505855743082
context,shift,fine,minus_composition,-0.006280158133656941,-0.011939347528734367,0.0003751728268954908
context,shift,fine,minus_equivariance,-0.006678634599571021,-0.012098151208081146,-0.0004986502838057952
context,shift,coarse,minus_raw,0.003540556722995636,-0.018093413145226896,0.028024379326303264
context,shift,coarse,minus_correction,-0.005410728436676393,-0.03240744884245595,0.013800342785798825
context,shift,coarse,minus_composition,-0.007166472964041826,-0.03432857893740342,0.011573884965366599
context,shift,coarse,minus_equivariance,-0.004598506149970427,-0.029761320328992095,0.012721018824606637
context,both,fine,minus_raw,-0.0023275947233746264,-0.00830074774422758,0.007331098669330356
context,both,fine,minus_correction,-0.0065996753456133705,-0.011479313421958048,-0.0009456539807687087
context,both,fine,minus_composition,-0.006989578397048071,-0.012793143980796515,-0.00035125444460883375
context,both,fine,minus_equivariance,-0.006804472879178694,-0.012641597787649186,-0.0006380565479275032
context,both,coarse,minus_raw,0.005377306486790356,-0.014120612560634162,0.027532556056660853
context,both,coarse,minus_correction,-0.004912262761089747,-0.027973041279240305,0.01031447401770541
context,both,coarse,minus_composition,-0.006436733337322587,-0.02944870332556041,0.008851636647573494
context,both,coarse,minus_equivariance,-0.0038430336177960878,-0.027403004557453346,0.010622015361521847
correction,natural,fine,minus_raw,0.0063510194718012225,0.0008202218300818184,0.011105682400808269
correction,natural,fine,minus_context,0.004421429780182354,-0.00041018752338133443,0.010641051958089343
correction,natural,fine,minus_composition,-0.0006658481165712216,-0.0013782912855749428,0.0009770853346448636
correction,natural,fine,minus_equivariance,-0.002220834824312498,-0.004494248662768004,0.0006925538947011167
correction,natural,coarse,minus_raw,0.010374317103575559,-0.008701338026641905,0.032388075952774736
correction,natural,coarse,minus_context,-0.003030122178967476,-0.015462686925798006,0.011853004658599177
correction,natural,coarse,minus_composition,-0.00048791247331153587,-0.004262639516752494,0.0048424049499493265
correction,natural,coarse,minus_equivariance,-0.0015451657315897482,-0.004840374442718122,0.0006673545526444372
correction,composition,fine,minus_raw,0.005566387268038167,-0.00016334043254117165,0.011003667320834668
correction,composition,fine,minus_context,0.004338446414249103,-0.0005135171441114316,0.010658425788141229
correction,composition,fine,minus_composition,-0.0009073794166282456,-0.0023937358458385903,0.0010358041976277412
correction,composition,fine,minus_equivariance,-0.0018512618270058179,-0.0045244084455550474,0.001377006643956367
correction,composition,coarse,minus_raw,0.011694897158191608,-0.006096164719535742,0.03296597516666168
correction,composition,coarse,minus_context,-0.0027372642887812937,-0.014803945796345011,0.011294993417416525
correction,composition,coarse,minus_composition,-0.00026021480831495136,-0.003719385284368651,0.0037516532363678235
correction,composition,coarse,minus_equivariance,-0.0012606659801389641,-0.0049583966161993774,0.0013751684205586708
correction,shift,fine,minus_raw,0.005223820804645785,-0.0011222085320059208,0.012368715687777952
correction,shift,fine,minus_context,0.00608060687298205,0.00012726505855742667,0.010996046037494028
correction,shift,fine,minus_composition,-0.0001995512606748906,-0.0024919273249595017,0.002006709221256556
correction,shift,fine,minus_equivariance,-0.0005980277265889705,-0.0029328073074516322,0.0019341508731179553
correction,shift,coarse,minus_raw,0.008951285159672029,-0.016575971581398105,0.0362828529839875
correction,shift,coarse,minus_context,0.005410728436676393,-0.013800342785798825,0.032407448842455944
correction,shift,coarse,minus_composition,-0.0017557445273654326,-0.0050734523175507236,0.0029831858416141223
correction,shift,coarse,minus_equivariance,0.0008122222867059659,-0.003068551360052185,0.004561942512734422
correction,both,fine,minus_raw,0.004272080622238744,-0.002709790056079867,0.013183707341502232
correction,both,fine,minus_context,0.0065996753456133705,0.0009456539807687063,0.011479313421958046
correction,both,fine,minus_composition,-0.0003899030514347007,-0.0029274966805412457,0.002218018523463112
correction,both,fine,minus_equivariance,-0.00020479753356532349,-0.0027995891900943625,0.0022772713319627476
correction,both,coarse,minus_raw,0.010289569247880104,-0.011749442812401435,0.03548871782823684
correction,both,coarse,minus_context,0.004912262761089747,-0.010314474017705414,0.027973041279240274
correction,both,coarse,minus_composition,-0.0015244705762328392,-0.005322496797617472,0.002737185935192374
correction,both,coarse,minus_equivariance,0.0010692291432936596,-0.0027402828468933117,0.004197318437685286
composition,natural,fine,minus_raw,0.007016867588372444,0.001371546697767563,0.011487249327229077
composition,natural,fine,minus_context,0.005087277896753575,-0.0008911321678874025,0.011534132059809257
composition,natural,fine,minus_correction,0.0006658481165712216,-0.0009770853346448651,0.0013782912855749428
