actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
32,0.7391528273001313,0,0.10096215922385454,22.333333333333332,1,logistic_regression,30,228102,6400,30,32,74749b9de8a69391,7,success,fine,6400,0,1.9221319882199168
8,0.10421461518853903,0,0.05283817742019892,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,7,success,coarse,6400,0,1.236089306883514
8,0.7265164200216532,0,0.09841128066182137,6.233333333333333,1,logistic_regression,30,228102,6400,30,8,74749b9de8a69391,7,success,fine,6400,0,1.9065141500905156
16,0.06059866212308407,0,0.05399038828909397,15.2,12,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,8,success,coarse,3200,0,1.2051939452067018
16,0.3038298711180687,0,0.09756429493427277,11.2,1,logistic_regression,30,228102,3200,30,16,74749b9de8a69391,8,success,fine,3200,0,1.4725814536213875
32,0.06395631935447454,0,0.053122024051845074,28.0,12,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,8,success,coarse,3200,0,1.1966432612389326
32,0.2812168449163437,0,0.09535201732069254,20.166666666666668,1,logistic_regression,30,228102,3200,30,32,74749b9de8a69391,8,success,fine,3200,0,1.4789182227104902
8,0.056079281494021416,0,0.05263044964522123,7.8,7,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,8,success,coarse,3200,0,1.1895777313038707
8,0.2651129635050893,0,0.09468659199774265,6.366666666666666,1,logistic_regression,30,228102,3200,30,8,74749b9de8a69391,8,success,fine,3200,0,1.448768762871623
16,0.12359293177723885,0,0.05273811332881451,15.6,14,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,8,success,coarse,6400,0,1.2748259929940104
16,0.9034149507060647,0,0.09445537347346544,12.2,1,logistic_regression,30,228102,6400,30,16,74749b9de8a69391,8,success,fine,6400,0,2.083590560592711
32,0.10243584308773279,0,0.05274735763669014,30.0,22,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,8,success,coarse,6400,0,1.2547918073832989
32,0.7876610979437828,0,0.09778295643627644,21.866666666666667,1,logistic_regression,30,228102,6400,30,32,74749b9de8a69391,8,success,fine,6400,0,1.9878309518098831
8,0.10161738097667694,0,0.053350646048784256,7.8,7,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,8,success,coarse,6400,0,1.2402798188850284
8,0.778173416852951,0,0.0980336768552661,6.566666666666666,1,logistic_regression,30,228102,6400,30,8,74749b9de8a69391,8,success,fine,6400,0,1.9633084554225206
16,0.05111123900860548,0,0.05284037906676531,15.2,12,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,9,success,coarse,3200,0,1.178652198985219
16,0.34438645746558905,0,0.09134147316217422,11.535714285714286,2,logistic_regression,30,228102,3200,28,16,74749b9de8a69391,9,success,fine,3200,2,1.5373294157907367
32,0.05776605382561684,0,0.052969601936638355,28.0,12,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,9,success,coarse,3200,0,1.2213104087859392
32,0.3745432337746024,0,0.0879114093258977,20.75,2,logistic_regression,30,228102,3200,28,32,74749b9de8a69391,9,success,fine,3200,2,1.5558484038338065
8,0.0626584580168128,0,0.05331462528556585,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,9,success,coarse,3200,0,1.2055604103952646
8,0.3153390260413289,0,0.08907199837267399,6.357142857142857,2,logistic_regression,30,228102,3200,28,8,74749b9de8a69391,9,success,fine,3200,2,1.4861096842214465
16,0.1243714326992631,0,0.052867270074784756,15.8,15,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,9,success,coarse,6400,0,1.2553312676027417
16,0.7768199555575848,0,0.08823710773140192,12.25,2,logistic_regression,30,228102,6400,28,16,74749b9de8a69391,9,success,fine,6400,2,1.9807769674807787
32,0.10306025296449661,0,0.05305804591625929,30.4,24,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,9,success,coarse,6400,0,1.2617597905918956
32,0.7844938095659018,0,0.0877342987805605,22.714285714285715,2,logistic_regression,30,228102,6400,28,32,74749b9de8a69391,9,success,fine,6400,2,1.948277547955513
8,0.10154685284942389,0,0.052924275398254395,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,9,success,coarse,6400,0,1.2447305209934711
8,0.8093318976461887,0,0.09144147485494614,6.571428571428571,2,logistic_regression,30,228102,6400,28,8,74749b9de8a69391,9,success,fine,6400,2,1.9986321069300175
16,0.06150963995605707,0,0.05284688249230385,14.4,8,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,10,success,coarse,3200,0,1.2026089802384377
16,0.31034307461231947,0,0.08803893439471722,11.178571428571429,1,logistic_regression,30,228102,3200,28,16,74749b9de8a69391,10,success,fine,3200,2,1.5078672785311937
32,0.057688022032380104,0,0.053966973908245564,27.2,8,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,10,success,coarse,3200,0,1.2183824172243476
32,0.3161505591124296,0,0.09088305849581957,20.285714285714285,1,logistic_regression,30,228102,3200,28,32,74749b9de8a69391,10,success,fine,3200,2,1.5188405206426978
8,0.04717635549604893,0,0.05373881105333567,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,10,success,coarse,3200,0,1.1730200899764895
8,0.27982376608997583,0,0.09078855533152819,6.321428571428571,1,logistic_regression,30,228102,3200,28,8,74749b9de8a69391,10,success,fine,3200,2,1.4556867722421885
16,0.11927531193941832,0,0.05276012513786554,15.8,15,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,10,success,coarse,6400,0,1.2541144844144583
16,0.7810764601454139,0,0.09090927895158529,12.357142857142858,1,logistic_regression,30,228102,6400,28,16,74749b9de8a69391,10,success,fine,6400,2,1.9539347616955638
32,0.11520166881382465,0,0.05293124169111252,28.8,16,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,10,success,coarse,6400,0,1.2866703355684876
32,0.8503095516934991,0,0.09122247714549303,22.035714285714285,1,logistic_regression,30,228102,6400,28,32,74749b9de8a69391,10,success,fine,6400,2,2.046244184486568
8,0.09137475211173296,0,0.052871610037982464,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,10,success,coarse,6400,0,1.217527567408979
8,0.6820568069815636,0,0.08826465345919132,6.535714285714286,1,logistic_regression,30,228102,6400,28,8,74749b9de8a69391,10,success,fine,6400,2,1.8414479102939367
16,0.05125423055142164,0,0.05262703821063042,14.4,8,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,11,success,coarse,3200,0,1.194340905174613
16,0.3298190515488386,0,0.09015908278524876,11.37037037037037,2,logistic_regression,30,228102,3200,27,16,74749b9de8a69391,11,success,fine,3200,3,1.5264849411323667
32,0.07609569933265448,0,0.05297354515641928,27.2,8,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,11,success,coarse,3200,0,1.2211935250088573
32,0.2848676545545459,0,0.09441794734448195,20.444444444444443,2,logistic_regression,30,228102,3200,27,32,74749b9de8a69391,11,success,fine,3200,3,1.474700634367764
8,0.05441602598875761,0,0.053711043670773506,7.4,5,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,11,success,coarse,3200,0,1.2034094966948032
8,0.2795517295598984,0,0.09325702302157879,6.333333333333333,1,logistic_regression,30,228102,3200,27,8,74749b9de8a69391,11,success,fine,3200,3,1.4753250749781728
16,0.1235792301595211,0,0.053989240899682045,15.2,12,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,11,success,coarse,6400,0,1.2860366711392999
16,0.7160125859081745,0,0.09372440446168184,12.666666666666666,2,logistic_regression,30,228102,6400,27,16,74749b9de8a69391,11,success,fine,6400,3,1.9090929152444005
32,0.12385467253625393,0,0.05653955601155758,28.6,15,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,11,success,coarse,6400,0,1.290854279883206
32,0.7214399371296167,0,0.0917718531563878,22.51851851851852,2,logistic_regression,30,228102,6400,27,32,74749b9de8a69391,11,success,fine,6400,3,1.9104737965390086
8,0.11733360402286053,0,0.05691330228000879,7.4,5,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,11,success,coarse,6400,0,1.2503300234675407
8,0.7556423507630825,0,0.0936659649014473,6.444444444444445,1,logistic_regression,30,228102,6400,27,8,74749b9de8a69391,11,success,fine,6400,3,1.9569292981177568
16,0.04966052621603012,0,0.054232665337622166,15.2,12,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,12,success,coarse,3200,0,1.1855506617575884
16,0.39149901643395424,0,0.09536687657237053,11.714285714285714,2,logistic_regression,30,228102,3200,28,16,74749b9de8a69391,12,success,fine,3200,2,1.5570226944983006
32,0.05490410793572664,0,0.05518642906099558,28.0,12,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,12,success,coarse,3200,0,1.2159481598064303
32,0.4013092815876007,0,0.08806557767093182,20.0,2,logistic_regression,30,228102,3200,28,32,74749b9de8a69391,12,success,fine,3200,2,1.58277474809438
8,0.05039845686405897,0,0.054109781980514526,7.8,7,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,12,success,coarse,3200,0,1.1848085029050708
8,0.34369847923517227,0,0.09214940667152405,6.321428571428571,2,logistic_regression,30,228102,3200,28,8,74749b9de8a69391,12,success,fine,3200,2,1.526740132831037
16,0.09369868133217096,0,0.05452622566372156,15.6,14,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,12,success,coarse,6400,0,1.224316886626184
16,0.735806081444025,0,0.09171175770461559,12.321428571428571,2,logistic_regression,30,228102,6400,28,16,74749b9de8a69391,12,success,fine,6400,2,1.8986844075843692
32,0.09646706096827984,0,0.05410111229866743,30.2,23,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,12,success,coarse,6400,0,1.2545914547517896
32,0.7776136249303818,0,0.0918422732502222,23.035714285714285,2,logistic_regression,30,228102,6400,28,32,74749b9de8a69391,12,success,fine,6400,2,1.9669440062716603
8,0.09166871197521687,0,0.054286918602883816,7.8,7,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,12,success,coarse,6400,0,1.2294117724522948
8,0.672820451669395,0,0.08877464570105076,6.392857142857143,2,logistic_regression,30,228102,6400,28,8,74749b9de8a69391,12,success,fine,6400,2,1.8525794632732868
16,0.05013750120997429,0,0.05373687855899334,15.0,11,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,13,success,coarse,3200,0,1.1733866687864065
16,0.32882217690348625,0,0.0972641920670867,11.413793103448276,1,logistic_regression,30,228102,3200,29,16,74749b9de8a69391,13,success,fine,3200,1,1.510800656862557
32,0.05177461355924606,0,0.05364293046295643,27.8,11,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,13,success,coarse,3200,0,1.2273195032030344
32,0.36288624722510576,0,0.09712583664804697,20.24137931034483,1,logistic_regression,30,228102,3200,29,32,74749b9de8a69391,13,success,fine,3200,1,1.5557556105777621
8,0.04756500292569399,0,0.05301374942064285,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,13,success,coarse,3200,0,1.1895389296114445
8,0.2825285056605935,0,0.09831326454877853,6.413793103448276,1,logistic_regression,30,228102,3200,29,8,74749b9de8a69391,13,success,fine,3200,1,1.4652876891195774
16,0.10630189441144466,0,0.05354093946516514,16.0,16,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,13,success,coarse,6400,0,1.2577409818768501
16,0.7815398266538978,0,0.0944589814171195,12.517241379310345,1,logistic_regression,30,228102,6400,29,16,74749b9de8a69391,13,success,fine,6400,1,1.9783533671870828
32,0.08885776717215776,0,0.054310848005115986,29.8,21,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,13,success,coarse,6400,0,1.2440466955304146
32,0.8284670086577535,0,0.09792992752045393,22.275862068965516,1,logistic_regression,30,228102,6400,29,32,74749b9de8a69391,13,success,fine,6400,1,2.0299187190830708
8,0.09196395799517632,0,0.05283096991479397,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,13,success,coarse,6400,0,1.2422929871827364
8,0.6477367170155048,0,0.09815355110913515,6.655172413793103,1,logistic_regression,30,228102,6400,29,8,74749b9de8a69391,13,success,fine,6400,1,1.849727756343782
16,0.055264201015233994,0,0.05487274657934904,14.4,8,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,14,success,coarse,3200,0,1.2149868728592992
