permutation,seed,patient_accuracy,patient_macro_f1
696,42,0.175,0.18013838013838013
697,42,0.15,0.11756993006993006
698,42,0.125,0.1220816220816221
699,42,0.05,0.05808080808080809
700,42,0.1,0.09027777777777778
701,42,0.15,0.1270424836601307
702,42,0.1,0.09855699855699855
703,42,0.1,0.08636977058029689
704,42,0.025,0.027777777777777776
705,42,0.225,0.2321007696007696
706,42,0.125,0.12265512265512264
707,42,0.175,0.14252645502645503
708,42,0.125,0.10224089635854343
709,42,0.075,0.07905982905982906
710,42,0.175,0.14444444444444446
711,42,0.075,0.0735042735042735
712,42,0.1,0.07083333333333333
713,42,0.225,0.1908201877242125
714,42,0.075,0.07722832722832722
715,42,0.25,0.22373021715126976
716,42,0.075,0.07792207792207792
717,42,0.15,0.12546296296296297
718,42,0.025,0.022222222222222223
719,42,0.175,0.1346153846153846
720,42,0.075,0.0949074074074074
721,42,0.175,0.18618233618233618
722,42,0.2,0.16898148148148148
723,42,0.2,0.185978835978836
724,42,0.1,0.09183006535947712
725,42,0.025,0.023809523809523808
726,42,0.175,0.17935086356138985
727,42,0.1,0.0811965811965812
728,42,0.175,0.18322510822510826
729,42,0.0,0.0
730,42,0.2,0.17149470899470898
731,42,0.025,0.030303030303030304
732,42,0.2,0.18472222222222223
733,42,0.175,0.15445665445665446
734,42,0.175,0.14458874458874457
735,42,0.025,0.030303030303030304
736,42,0.1,0.08814102564102565
737,42,0.05,0.053418803418803416
738,42,0.275,0.23227513227513227
739,42,0.2,0.20202020202020202
740,42,0.05,0.05252525252525253
741,42,0.1,0.06060606060606061
742,42,0.15,0.14532828282828283
743,42,0.125,0.11025641025641027
744,42,0.3,0.28293650793650793
745,42,0.15,0.12454212454212454
746,42,0.0,0.0
747,42,0.275,0.2700757575757576
748,42,0.15,0.1445887445887446
749,42,0.1,0.08088235294117647
750,42,0.2,0.1731442577030812
751,42,0.1,0.09325396825396826
752,42,0.1,0.09583333333333333
753,42,0.125,0.12507427213309566
754,42,0.125,0.10346638655462186
755,42,0.2,0.21424501424501421
756,42,0.05,0.0392156862745098
757,42,0.15,0.1399063899063899
758,42,0.2,0.17934472934472934
759,42,0.175,0.15995115995115997
760,42,0.075,0.06666666666666667
761,42,0.175,0.14668534080298787
762,42,0.025,0.0196078431372549
763,42,0.0,0.0
764,42,0.25,0.19786324786324785
765,42,0.05,0.046474358974358976
766,42,0.275,0.24603174603174605
767,42,0.125,0.11555046260928614
768,42,0.075,0.05555555555555555
769,42,0.275,0.23526897938662641
770,42,0.225,0.21102971102971102
771,42,0.075,0.0811965811965812
772,42,0.125,0.1418026418026418
773,42,0.2,0.17273954116059378
774,42,0.15,0.13765182186234817
775,42,0.075,0.07509157509157509
776,42,0.15,0.15425685425685426
777,42,0.05,0.041353383458646614
778,42,0.1,0.08928571428571429
779,42,0.075,0.07326007326007326
780,42,0.1,0.09729649435531788
781,42,0.05,0.05416666666666667
782,42,0.15,0.1440850815850816
783,42,0.125,0.10185185185185185
784,42,0.275,0.2212301587301587
785,42,0.05,0.03809523809523809
786,42,0.1,0.09758403361344538
787,42,0.075,0.08485155195681511
