B,n_cells,seed,model,patient_macro_f1,patient_accuracy
20,100,15,LR,1.0,1.0
20,500,15,LR,1.0,1.0
20,1000,15,LR,1.0,1.0
20,5000,15,LR,1.0,1.0
20,all,15,LR,1.0,1.0
20,100,16,LR,1.0,1.0
20,500,16,LR,1.0,1.0
20,1000,16,LR,1.0,1.0
20,5000,16,LR,1.0,1.0
20,all,16,LR,1.0,1.0
20,100,17,LR,1.0,1.0
20,500,17,LR,1.0,1.0
20,1000,17,LR,1.0,1.0
20,5000,17,LR,1.0,1.0
20,all,17,LR,1.0,1.0
20,100,18,LR,1.0,1.0
20,500,18,LR,1.0,1.0
20,1000,18,LR,1.0,1.0
20,5000,18,LR,1.0,1.0
20,all,18,LR,1.0,1.0
20,100,19,LR,1.0,1.0
20,500,19,LR,1.0,1.0
20,1000,19,LR,1.0,1.0
20,5000,19,LR,1.0,1.0
20,all,19,LR,1.0,1.0
20,100,20,LR,1.0,1.0
20,500,20,LR,1.0,1.0
20,1000,20,LR,1.0,1.0
20,5000,20,LR,1.0,1.0
20,all,20,LR,1.0,1.0
20,100,21,LR,1.0,1.0
20,500,21,LR,1.0,1.0
20,1000,21,LR,1.0,1.0
20,5000,21,LR,1.0,1.0
20,all,21,LR,1.0,1.0
20,100,22,LR,1.0,1.0
20,500,22,LR,1.0,1.0
20,1000,22,LR,1.0,1.0
20,5000,22,LR,1.0,1.0
20,all,22,LR,1.0,1.0
20,100,23,LR,1.0,1.0
20,500,23,LR,1.0,1.0
20,1000,23,LR,1.0,1.0
20,5000,23,LR,1.0,1.0
20,all,23,LR,1.0,1.0
20,100,24,LR,1.0,1.0
20,500,24,LR,1.0,1.0
20,1000,24,LR,1.0,1.0
20,5000,24,LR,1.0,1.0
20,all,24,LR,1.0,1.0
20,100,25,LR,1.0,1.0
20,500,25,LR,1.0,1.0
20,1000,25,LR,1.0,1.0
20,5000,25,LR,1.0,1.0
20,all,25,LR,1.0,1.0
20,100,26,LR,1.0,1.0
20,500,26,LR,1.0,1.0
20,1000,26,LR,1.0,1.0
20,5000,26,LR,1.0,1.0
20,all,26,LR,1.0,1.0
20,100,27,LR,1.0,1.0
20,500,27,LR,1.0,1.0
20,1000,27,LR,1.0,1.0
20,5000,27,LR,1.0,1.0
20,all,27,LR,1.0,1.0
20,100,28,LR,1.0,1.0
20,500,28,LR,1.0,1.0
20,1000,28,LR,1.0,1.0
20,5000,28,LR,1.0,1.0
20,all,28,LR,1.0,1.0
20,100,29,LR,1.0,1.0
20,500,29,LR,1.0,1.0
20,1000,29,LR,1.0,1.0
20,5000,29,LR,1.0,1.0
20,all,29,LR,1.0,1.0
20,100,30,LR,1.0,1.0
20,500,30,LR,1.0,1.0
20,1000,30,LR,1.0,1.0
20,5000,30,LR,1.0,1.0
20,all,30,LR,1.0,1.0
20,100,31,LR,1.0,1.0
20,500,31,LR,1.0,1.0
20,1000,31,LR,1.0,1.0
20,5000,31,LR,1.0,1.0
20,all,31,LR,1.0,1.0
20,100,32,LR,1.0,1.0
20,500,32,LR,1.0,1.0
20,1000,32,LR,1.0,1.0
20,5000,32,LR,1.0,1.0
20,all,32,LR,1.0,1.0
20,100,33,LR,1.0,1.0
20,500,33,LR,1.0,1.0
20,1000,33,LR,1.0,1.0
20,5000,33,LR,1.0,1.0
20,all,33,LR,1.0,1.0
20,100,34,LR,1.0,1.0
20,500,34,LR,1.0,1.0
20,1000,34,LR,1.0,1.0
20,5000,34,LR,1.0,1.0
20,all,34,LR,1.0,1.0
20,100,35,LR,1.0,1.0
20,500,35,LR,1.0,1.0
20,1000,35,LR,1.0,1.0
20,5000,35,LR,1.0,1.0
20,all,35,LR,1.0,1.0
20,100,36,LR,1.0,1.0
20,500,36,LR,1.0,1.0
20,1000,36,LR,1.0,1.0
20,5000,36,LR,1.0,1.0
20,all,36,LR,1.0,1.0
20,100,37,LR,1.0,1.0
20,500,37,LR,1.0,1.0
20,1000,37,LR,1.0,1.0
20,5000,37,LR,1.0,1.0
20,all,37,LR,1.0,1.0
20,100,38,LR,1.0,1.0
20,500,38,LR,1.0,1.0
20,1000,38,LR,1.0,1.0
20,5000,38,LR,1.0,1.0
20,all,38,LR,1.0,1.0
20,100,39,LR,1.0,1.0
20,500,39,LR,1.0,1.0
20,1000,39,LR,1.0,1.0
20,5000,39,LR,1.0,1.0
20,all,39,LR,1.0,1.0
20,100,40,LR,1.0,1.0
20,500,40,LR,1.0,1.0
20,1000,40,LR,1.0,1.0
20,5000,40,LR,1.0,1.0
20,all,40,LR,1.0,1.0
20,100,41,LR,1.0,1.0
20,500,41,LR,1.0,1.0
20,1000,41,LR,1.0,1.0
20,5000,41,LR,1.0,1.0
20,all,41,LR,1.0,1.0
20,100,42,LR,1.0,1.0
20,500,42,LR,1.0,1.0
20,1000,42,LR,1.0,1.0
20,5000,42,LR,1.0,1.0
20,all,42,LR,1.0,1.0
20,100,43,LR,1.0,1.0
20,500,43,LR,1.0,1.0
20,1000,43,LR,1.0,1.0
20,5000,43,LR,1.0,1.0
20,all,43,LR,1.0,1.0
20,100,44,LR,1.0,1.0
20,500,44,LR,1.0,1.0
20,1000,44,LR,1.0,1.0
20,5000,44,LR,1.0,1.0
20,all,44,LR,1.0,1.0
20,100,45,LR,1.0,1.0
