B,repeat,model,patient_macro_f1,patient_accuracy,aptamers
5,69,XGBoost,0.6560358486829075,0.675,APT-60;APT-72;APT-97;APT-122;APT-182
5,70,XGBoost,0.7448901975217764,0.75,APT-25;APT-60;APT-94;APT-225;APT-253
5,71,XGBoost,0.8534798534798536,0.85,APT-77;APT-84;APT-140;APT-210;APT-243
5,72,XGBoost,0.7833979745744452,0.8,APT-32;APT-144;APT-193;APT-207;APT-224
5,73,XGBoost,0.7137093298858005,0.725,APT-47;APT-92;APT-124;APT-141;APT-248
5,74,XGBoost,0.628968253968254,0.65,APT-86;APT-177;APT-182;APT-185;APT-269
5,75,XGBoost,0.7445415695415695,0.75,APT-197;APT-240;APT-245;APT-263;APT-292
5,76,XGBoost,0.5815371762740184,0.625,APT-38;APT-43;APT-100;APT-106;APT-271
5,77,XGBoost,0.6588392000156708,0.675,APT-46;APT-59;APT-95;APT-116;APT-285
5,78,XGBoost,0.8495817907582613,0.85,APT-05;APT-162;APT-182;APT-246;APT-267
5,79,XGBoost,0.7062271062271063,0.775,APT-91;APT-180;APT-192;APT-202;APT-285
5,80,XGBoost,0.7663650075414782,0.775,APT-05;APT-35;APT-160;APT-196;APT-287
5,81,XGBoost,0.755910755910756,0.75,APT-48;APT-64;APT-112;APT-246;APT-277
5,82,XGBoost,0.7926628926628926,0.8,APT-36;APT-90;APT-157;APT-182;APT-189
5,83,XGBoost,0.6149701176016965,0.65,APT-85;APT-119;APT-129;APT-147;APT-283
5,84,XGBoost,0.8748362748362748,0.875,APT-26;APT-112;APT-130;APT-244;APT-272
5,85,XGBoost,0.8148809523809524,0.825,APT-16;APT-57;APT-108;APT-156;APT-274
5,86,XGBoost,0.6800366300366302,0.7,APT-22;APT-37;APT-41;APT-145;APT-160
5,87,XGBoost,0.6631808278867103,0.7,APT-31;APT-79;APT-90;APT-189;APT-246
5,88,XGBoost,0.6870915032679737,0.725,APT-150;APT-163;APT-198;APT-220;APT-238
5,89,XGBoost,0.6886904761904762,0.7,APT-48;APT-52;APT-255;APT-267;APT-276
5,90,XGBoost,0.7111972994325936,0.725,APT-161;APT-176;APT-207;APT-252;APT-270
5,91,XGBoost,0.6020113787141651,0.625,APT-25;APT-28;APT-181;APT-240;APT-267
5,92,XGBoost,0.7851495726495727,0.8,APT-40;APT-164;APT-209;APT-257;APT-284
5,93,XGBoost,0.72754329004329,0.725,APT-08;APT-19;APT-64;APT-112;APT-210
5,94,XGBoost,0.8511488511488512,0.85,APT-10;APT-19;APT-47;APT-51;APT-228
5,95,XGBoost,0.7656135531135532,0.775,APT-80;APT-90;APT-124;APT-203;APT-253
5,96,XGBoost,0.7393939393939394,0.75,APT-109;APT-149;APT-173;APT-202;APT-250
5,97,XGBoost,0.8531135531135532,0.85,APT-27;APT-108;APT-161;APT-192;APT-231
5,98,XGBoost,0.5329609116373822,0.6,APT-117;APT-134;APT-151;APT-154;APT-292
5,99,XGBoost,0.7366946778711485,0.75,APT-07;APT-157;APT-171;APT-185;APT-191
10,0,LR,0.8301282051282052,0.825,APT-05;APT-70;APT-100;APT-141;APT-147;APT-186;APT-199;APT-213;APT-241;APT-279
10,1,LR,0.5999245852187028,0.625,APT-16;APT-45;APT-117;APT-120;APT-184;APT-216;APT-222;APT-235;APT-270;APT-284
10,2,LR,0.9720279720279721,0.975,APT-08;APT-13;APT-62;APT-105;APT-134;APT-214;APT-251;APT-252;APT-257;APT-291
