feature_set,transform,outer_fold,selected_C,accuracy,balanced_accuracy,macro_f1,log_loss,macro_auroc,recall::BTC,f1::BTC,recall::CRC,f1::CRC,recall::GC,f1::GC,recall::HCC,f1::HCC,recall::Normal,f1::Normal,recall::PC,f1::PC,confusion_matrix
pred_soft_subtype,raw,1,1.0,0.5,0.5833333333333334,0.4444444444444444,1.0331819190649414,0.9345238095238096,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,"[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_subtype,raw,2,100.0,0.75,0.8333333333333334,0.7444444444444445,1.6704217687076461,0.9206349206349206,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_subtype,raw,3,1.0,0.625,0.6666666666666666,0.5499999999999999,1.1118068007839361,0.8194444444444445,1.0,0.8,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,"[[2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0]]"
pred_soft_subtype,raw,4,100.0,0.625,0.5833333333333334,0.47222222222222215,3.326690972657727,0.8571428571428571,1.0,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0]]"
pred_soft_subtype,clr,0,100.0,0.75,0.8333333333333334,0.7444444444444445,1.349782206739316,1.0,1.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_subtype,clr,1,0.1,0.625,0.6666666666666666,0.611111111111111,1.0057392186554517,0.9345238095238096,0.0,0.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"[[0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_soft_subtype,clr,2,0.1,0.625,0.6666666666666666,0.5277777777777778,0.8626796817024216,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]"
pred_soft_subtype,clr,3,1.0,1.0,1.0,1.0,0.2991299750364619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 2]]"
pred_soft_subtype,clr,4,10.0,0.5,0.4166666666666667,0.3444444444444444,2.0342752049511406,0.7718253968253969,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.4,"[[0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]]"
true_lineage,raw,0,100.0,0.5,0.5,0.5,1.1269775802185285,0.8115079365079364,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"[[0, 0, 1, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]"
true_lineage,raw,1,100.0,0.25,0.25,0.2222222222222222,4.365136210366861,0.6884920634920636,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"[[0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0]]"
true_lineage,raw,2,1.0,0.375,0.3333333333333333,0.2611111111111111,1.4096592809854025,0.75,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.4,1.0,0.6666666666666666,0.0,0.0,"[[0, 0, 0, 1, 0, 0], [0, 1, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0]]"
true_lineage,raw,3,1.0,0.125,0.16666666666666666,0.16666666666666666,1.9914522214200643,0.6051587301587301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"[[0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 2, 0, 0, 0]]"
true_lineage,raw,4,1.0,0.375,0.25,0.21666666666666667,1.1156405809802503,0.8293650793650794,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.8,0.0,0.0,"[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0]]"
true_lineage,clr,0,100.0,0.375,0.3333333333333333,0.3333333333333333,1.1044113413337455,0.8353174603174603,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"[[0, 0, 1, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]"
true_lineage,clr,1,100.0,0.375,0.3333333333333333,0.3444444444444444,5.725607040998092,0.6706349206349206,0.0,0.0,0.5,0.4,0.0,0.0,0.5,0.6666666666666666,1.0,1.0,0.0,0.0,"[[0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0]]"
true_lineage,clr,2,0.1,0.25,0.25,0.17777777777777778,1.6311071561582895,0.6408730158730159,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,"[[0, 0, 0, 1, 0, 0], [0, 1, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0]]"
true_lineage,clr,3,1.0,0.25,0.25,0.19444444444444442,2.286018515569124,0.628968253968254,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0]]"
true_lineage,clr,4,100.0,0.375,0.3333333333333333,0.21666666666666667,2.082973000681058,0.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.5,"[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]]"
true_subtype,raw,0,10.0,0.25,0.3333333333333333,0.27777777777777773,7.632307175082131,0.6785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,"[[0, 0, 0, 0, 0, 1], [0, 0, 2, 0, 0, 0], [0, 1, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0]]"
true_subtype,raw,1,10.0,0.625,0.5,0.4444444444444444,1.6406408978547438,0.7916666666666666,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"[[0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0]]"
true_subtype,raw,2,100.0,0.5,0.5833333333333334,0.48333333333333334,2.7895868027243877,0.7876984126984127,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.4,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]"
true_subtype,raw,3,10.0,0.625,0.5833333333333334,0.5833333333333334,3.261873847871292,0.753968253968254,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,"[[2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1]]"
true_subtype,raw,4,100.0,0.5,0.5,0.38888888888888884,5.1578361531373025,0.8809523809523809,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.6666666666666666,1.0,0.6666666666666666,"[[0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
