source,subtype,disease,n_disease,median_disease,iqr_disease,median_other,median_difference,rank_biserial,p_value,median_lr_coefficient,iqr_lr_coefficient,coefficient_positive_fraction,coefficient_sign_stability,top_five_fraction,q_value,heldout_log_loss_increase,heldout_log_loss_increase_sd
true_subtype,CD16 Monocyte-2,CRC,8,0.004758573022410713,0.01324524983574257,0.008653496630078892,-0.0038949236076681786,-0.234375,0.3251904354071537,0.10264508469067658,1.022529359967911,0.6,0.6,0.0,0.5452613968045968,-0.018477909796621318,0.025050257110860084
true_subtype,CD16 Monocyte-2,GC,7,0.00915106293115585,0.003949504880580776,0.008079376328844791,0.0010716866023110592,0.1341991341991342,0.6009924070295588,0.05141912693616276,0.499121396564848,0.6,0.6,0.0,0.7915509751121018,-0.018477909796621318,0.025050257110860084
true_subtype,CD16 Monocyte-2,HCC,7,0.012151019817734702,0.013133456641630082,0.008114285714285715,0.004036734103448987,-0.0043290043290042934,0.9999999999999999,0.19480696020675425,0.9828737858721943,1.0,1.0,0.2,0.9999999999999998,-0.018477909796621318,0.025050257110860084
true_subtype,CD16 Monocyte-2,Normal,6,0.02161196859737989,0.004618965080182249,0.007129410505016072,0.01448255809236382,0.7450980392156863,0.0023666234192549983,-0.018999821894857247,0.06214967099318601,0.4,0.6,0.0,0.01533571975677239,-0.018477909796621318,0.025050257110860084
true_subtype,CD16 Monocyte-2,PC,6,0.005627267448337881,0.0022021231169859013,0.009251690036208859,-0.003624422587870978,-0.28431372549019607,0.28839197786566206,-0.16677337489216978,0.3323355627977783,0.0,1.0,0.0,0.5078206566764919,-0.018477909796621318,0.025050257110860084
true_subtype,CD16 NK,BTC,6,0.1989026278878104,0.12002104662289062,0.18999608000387766,0.008906547883932747,0.2058823529411764,0.4472470156680683,-0.29533826062966084,1.071386226222879,0.4,0.6,0.0,0.6708705235021024,0.19207623357775255,0.28300848280352786
true_subtype,CD16 NK,CRC,8,0.17826975883687812,0.17126317879454295,0.19224296250253448,-0.013973203665656353,0.0625,0.80363572128278,0.03937793996885505,0.07817477371339726,0.8,0.8,0.0,0.8870277621344477,0.19207623357775255,0.28300848280352786
true_subtype,CD16 NK,GC,7,0.16952221757905,0.07603073993449372,0.21046994242870531,-0.04094772484965531,-0.09956709956709953,0.7016064528448431,-0.13917535706566328,0.3932791119667041,0.2,0.8,0.2,0.8561150470226566,0.19207623357775255,0.28300848280352786
true_subtype,CD16 NK,HCC,7,0.2947485722245438,0.04636557559144516,0.14606957524505093,0.14867899697949288,0.7575757575757576,0.0009183868316995252,1.5127027438911793,1.1230677516667127,1.0,1.0,1.0,0.006762666669787413,0.19207623357775255,0.28300848280352786
true_subtype,CD16 NK,Normal,6,0.032168351293646015,0.006490876055515269,0.21994213898909304,-0.18777378769544703,-0.9607843137254902,6.2526378315852004e-06,-0.4558147805638133,0.2475545217304928,0.0,1.0,0.0,0.00032076032076032077,0.19207623357775255,0.28300848280352786
true_subtype,CD16 NK,PC,6,0.178739784477469,0.10114113629263849,0.18999608000387766,-0.011256295526408666,-0.06862745098039214,0.8103710419499893,-0.24736223673843127,0.4422826557206804,0.2,0.8,0.4,0.8870277621344477,0.19207623357775255,0.28300848280352786
true_subtype,CD4 + Tcm-1,BTC,6,0.266455776492894,0.17007981501671698,0.2415604243786758,0.024895352114218172,0.23529411764705888,0.38287663024505125,0.18856313318191845,1.2475558568543796,0.6,0.6,0.2,0.6080981774480225,-0.09508913328715915,0.253071191279674
true_subtype,CD4 + Tcm-1,CRC,8,0.265620967732707,0.14250033220742253,0.2415604243786758,0.024060543354031183,0.109375,0.6541782207416883,0.09549187489307157,1.3907331473163294,0.6,0.6,0.4,0.841086283810742,-0.09508913328715915,0.253071191279674
true_subtype,CD4 + Tcm-1,GC,7,0.26941255908170153,0.04378259613088026,0.23895526535148653,0.030457293730214996,0.2554112554112553,0.309246624571702,0.09625041031983222,0.23768444243547102,0.6,0.6,0.2,0.5386876686087713,-0.09508913328715915,0.253071191279674
true_subtype,CD4 + Tcm-1,HCC,7,0.23895526535148653,0.10135206331129934,0.24579542321477804,-0.006840157863291507,0.1601731601731602,0.5299173548399555,-0.29099814792302847,1.6011183178688346,0.0,1.0,0.4,0.7248883277591411,-0.09508913328715915,0.253071191279674
true_subtype,CD4 + Tcm-1,Normal,6,0.03833615787521604,0.005466906370127686,0.2596386016629724,-0.22130244378775638,-0.9509803921568627,9.900009900009901e-06,-0.5123163963955064,0.3176256118217116,0.0,1.0,0.2,0.00032076032076032077,-0.09508913328715915,0.253071191279674
true_subtype,CD4 + Tcm-1,PC,6,0.25360912681252523,0.05408709795663294,0.24315175962525615,0.010457367187269084,0.10784313725490202,0.6980991980991981,0.538054134743188,0.7097751429563459,0.8,0.8,0.0,0.8561150470226566,-0.09508913328715915,0.253071191279674
true_subtype,CD4 + Tcm-2,BTC,6,0.011829498987523678,0.011300306531468182,0.006188982700510316,0.005640516287013362,0.37254901960784315,0.15931981721455404,0.03262855698212352,0.36830108561122155,1.0,1.0,0.0,0.37405522302547467,0.10307440685598905,0.17607786783320942
true_subtype,CD4 + Tcm-2,CRC,8,0.00299792333132978,0.02732184004233094,0.00674382866599163,-0.00374590533466185,-0.421875,0.06991685877134794,0.16416667579927396,0.14478152535045125,0.8,0.8,0.0,0.22240085661138298,0.10307440685598905,0.17607786783320942
true_subtype,CD4 + Tcm-2,GC,7,0.006979341150195421,0.0018669023547622189,0.006126228807522439,0.0008531123426729825,0.07359307359307365,0.780619044860531,-0.11934062705996976,0.643568025185922,0.2,0.8,0.0,0.8843376592126295,0.10307440685598905,0.17607786783320942
true_subtype,CD4 + Tcm-2,HCC,7,0.005930854911037176,0.00038114865239296646,0.006979341150195421,-0.0010484862391582448,-0.18614718614718617,0.4631928665984394,-0.21121702118989213,0.07436785558746495,0.0,1.0,0.0,0.6821567671722472,0.10307440685598905,0.17607786783320942
true_subtype,CD4 + Tcm-2,Normal,6,0.11407120987384627,0.020732572788733625,0.006028541859279807,0.10804266801456645,0.9411764705882353,1.5631594578963003e-05,0.5631462335723731,0.46475454206530664,1.0,1.0,0.4,0.00036175976025600097,0.10307440685598905,0.17607786783320942
true_subtype,CD4 + Tcm-2,PC,6,0.0036489021124977384,0.0011561338038524683,0.0073899352359139804,-0.003741033123416242,-0.6568627450980392,0.009010051115314272,-0.16373091192752695,0.7367792568623684,0.2,0.8,0.0,0.0463673381049542,0.10307440685598905,0.17607786783320942
true_subtype,CD4 Monocyte-4,BTC,6,0.00039269455350830675,0.0006112676557813116,0.002288142064591511,-0.0018954475110832042,-0.7058823529411764,0.0067121144005615335,-0.31654983584630314,0.9752442210809957,0.0,1.0,0.2,0.03624541776303228,0.0768330589973763,0.11618748177970228
true_subtype,CD4 Monocyte-4,CRC,8,0.002288142064591511,0.0022902673407545512,0.001835827130032273,0.0004523149345592378,0.0703125,0.7735938529252918,1.1062699296584273,1.3978648464981873,1.0,1.0,0.6,0.8843376592126295,0.0768330589973763,0.11618748177970228
