feature_set,transform,outer_fold,disease,feature,coefficient
pred_hard_lineage,clr,0,CRC,pred_hard_lineage::T,0.1570470139404253
pred_hard_lineage,clr,0,GC,pred_hard_lineage::B,-0.017452293425992728
pred_hard_lineage,clr,0,GC,pred_hard_lineage::Myeloid,-0.8468316138633659
pred_hard_lineage,clr,0,GC,pred_hard_lineage::NK,-2.8682706128222044
pred_hard_lineage,clr,0,GC,pred_hard_lineage::Other,0.9993872944684044
pred_hard_lineage,clr,0,GC,pred_hard_lineage::T,2.5826206644123775
pred_hard_lineage,clr,0,HCC,pred_hard_lineage::B,-0.7686750938571825
pred_hard_lineage,clr,0,HCC,pred_hard_lineage::Myeloid,0.39292945835446846
pred_hard_lineage,clr,0,HCC,pred_hard_lineage::NK,2.176908774932115
pred_hard_lineage,clr,0,HCC,pred_hard_lineage::Other,-0.9960880742944312
pred_hard_lineage,clr,0,HCC,pred_hard_lineage::T,-0.4321863264307879
pred_hard_lineage,clr,0,Normal,pred_hard_lineage::B,1.5054901261117246
pred_hard_lineage,clr,0,Normal,pred_hard_lineage::Myeloid,0.007315116829731863
pred_hard_lineage,clr,0,Normal,pred_hard_lineage::NK,-0.357670751574868
pred_hard_lineage,clr,0,Normal,pred_hard_lineage::Other,1.1886056489163104
pred_hard_lineage,clr,0,Normal,pred_hard_lineage::T,-3.263219729105314
pred_hard_lineage,clr,0,PC,pred_hard_lineage::B,-0.6192413204649173
pred_hard_lineage,clr,0,PC,pred_hard_lineage::Myeloid,0.44491080412567185
pred_hard_lineage,clr,0,PC,pred_hard_lineage::NK,-0.3316044533490765
pred_hard_lineage,clr,0,PC,pred_hard_lineage::Other,-0.3774045235801269
pred_hard_lineage,clr,0,PC,pred_hard_lineage::T,1.2591426300385138
pred_hard_lineage,clr,1,BTC,pred_hard_lineage::B,1.1462102033182417
pred_hard_lineage,clr,1,BTC,pred_hard_lineage::Myeloid,-0.5608502889235509
pred_hard_lineage,clr,1,BTC,pred_hard_lineage::NK,-0.14140655205717506
pred_hard_lineage,clr,1,BTC,pred_hard_lineage::Other,-0.3743497800218185
pred_hard_lineage,clr,1,BTC,pred_hard_lineage::T,0.09366479121275946
pred_hard_lineage,clr,1,CRC,pred_hard_lineage::B,-0.14246297822975668
pred_hard_lineage,clr,1,CRC,pred_hard_lineage::Myeloid,-0.04824046957555918
pred_hard_lineage,clr,1,CRC,pred_hard_lineage::NK,0.6202297541565152
pred_hard_lineage,clr,1,CRC,pred_hard_lineage::Other,-0.007256310972818309
pred_hard_lineage,clr,1,CRC,pred_hard_lineage::T,-0.3808926397948059
pred_hard_lineage,clr,1,GC,pred_hard_lineage::B,-0.3943731450430298
pred_hard_lineage,clr,1,GC,pred_hard_lineage::Myeloid,0.08334767117193821
pred_hard_lineage,clr,1,GC,pred_hard_lineage::NK,-0.7279363627897999
pred_hard_lineage,clr,1,GC,pred_hard_lineage::Other,0.26696432338166365
pred_hard_lineage,clr,1,GC,pred_hard_lineage::T,0.5819532488269259
pred_hard_lineage,clr,1,HCC,pred_hard_lineage::B,-0.6155381891067148
pred_hard_lineage,clr,1,HCC,pred_hard_lineage::Myeloid,0.6227338839402681
pred_hard_lineage,clr,1,HCC,pred_hard_lineage::NK,0.9309108332921123
pred_hard_lineage,clr,1,HCC,pred_hard_lineage::Other,-0.36065552171905596
pred_hard_lineage,clr,1,HCC,pred_hard_lineage::T,-0.14660754379829935
pred_hard_lineage,clr,1,Normal,pred_hard_lineage::B,-0.08047307371541347
pred_hard_lineage,clr,1,Normal,pred_hard_lineage::Myeloid,-0.4272054135425374
pred_hard_lineage,clr,1,Normal,pred_hard_lineage::NK,-0.16393584684337492
pred_hard_lineage,clr,1,Normal,pred_hard_lineage::Other,0.8087527054803606
pred_hard_lineage,clr,1,Normal,pred_hard_lineage::T,-0.8569992438916498
pred_hard_lineage,clr,1,PC,pred_hard_lineage::B,0.08663718277667333
pred_hard_lineage,clr,1,PC,pred_hard_lineage::Myeloid,0.33021461692944115
pred_hard_lineage,clr,1,PC,pred_hard_lineage::NK,-0.5178618257582779
pred_hard_lineage,clr,1,PC,pred_hard_lineage::Other,-0.33345541614833124
pred_hard_lineage,clr,1,PC,pred_hard_lineage::T,0.7088813874450695
pred_hard_lineage,clr,2,BTC,pred_hard_lineage::B,0.05985489800819005
pred_hard_lineage,clr,2,BTC,pred_hard_lineage::Myeloid,-0.023963341032251933
pred_hard_lineage,clr,2,BTC,pred_hard_lineage::NK,-0.006286882261025749
pred_hard_lineage,clr,2,BTC,pred_hard_lineage::Other,-0.031214450197720244
pred_hard_lineage,clr,2,BTC,pred_hard_lineage::T,0.014771049877971374
pred_hard_lineage,clr,2,CRC,pred_hard_lineage::B,0.0010237004734216684
pred_hard_lineage,clr,2,CRC,pred_hard_lineage::Myeloid,-0.012055353057582112
pred_hard_lineage,clr,2,CRC,pred_hard_lineage::NK,0.027801179675632923
pred_hard_lineage,clr,2,CRC,pred_hard_lineage::Other,-0.003656793129440065
pred_hard_lineage,clr,2,CRC,pred_hard_lineage::T,-0.00719292297558311
pred_hard_lineage,clr,2,GC,pred_hard_lineage::B,-0.013767333586492802
pred_hard_lineage,clr,2,GC,pred_hard_lineage::Myeloid,0.029926628649302966
pred_hard_lineage,clr,2,GC,pred_hard_lineage::NK,-0.03238064771623726
pred_hard_lineage,clr,2,GC,pred_hard_lineage::Other,-0.004536057821347045
pred_hard_lineage,clr,2,GC,pred_hard_lineage::T,0.02350864276599412
pred_hard_lineage,clr,2,HCC,pred_hard_lineage::B,-0.02972964960188445
pred_hard_lineage,clr,2,HCC,pred_hard_lineage::Myeloid,0.01923267238372719
pred_hard_lineage,clr,2,HCC,pred_hard_lineage::NK,0.058462871486733084
pred_hard_lineage,clr,2,HCC,pred_hard_lineage::Other,-0.02338634848259214
pred_hard_lineage,clr,2,HCC,pred_hard_lineage::T,0.005934879359441114
pred_hard_lineage,clr,2,Normal,pred_hard_lineage::B,-0.012719988361835037
pred_hard_lineage,clr,2,Normal,pred_hard_lineage::Myeloid,-0.03702006690733686
pred_hard_lineage,clr,2,Normal,pred_hard_lineage::NK,-0.019362623552731356
pred_hard_lineage,clr,2,Normal,pred_hard_lineage::Other,0.08146971367871184
pred_hard_lineage,clr,2,Normal,pred_hard_lineage::T,-0.0784220941592587
pred_hard_lineage,clr,2,PC,pred_hard_lineage::B,-0.004661626931399427
pred_hard_lineage,clr,2,PC,pred_hard_lineage::Myeloid,0.023879459964140773
pred_hard_lineage,clr,2,PC,pred_hard_lineage::NK,-0.028233897632371618
pred_hard_lineage,clr,2,PC,pred_hard_lineage::Other,-0.018676064047612316
pred_hard_lineage,clr,2,PC,pred_hard_lineage::T,0.0414004451314352
pred_hard_lineage,clr,3,BTC,pred_hard_lineage::B,1.4369387349082077
pred_hard_lineage,clr,3,BTC,pred_hard_lineage::Myeloid,0.08081684895361343
pred_hard_lineage,clr,3,BTC,pred_hard_lineage::NK,1.1281845879486072
pred_hard_lineage,clr,3,BTC,pred_hard_lineage::Other,-1.0075393463585944
pred_hard_lineage,clr,3,BTC,pred_hard_lineage::T,-0.9230928114816076
pred_hard_lineage,clr,3,CRC,pred_hard_lineage::B,-0.644313648724188
pred_hard_lineage,clr,3,CRC,pred_hard_lineage::Myeloid,-0.2912980113347191
pred_hard_lineage,clr,3,CRC,pred_hard_lineage::NK,1.0509656329340766
pred_hard_lineage,clr,3,CRC,pred_hard_lineage::Other,0.21079417182175064
pred_hard_lineage,clr,3,CRC,pred_hard_lineage::T,-0.44396593551652835
pred_hard_lineage,clr,3,GC,pred_hard_lineage::B,-1.8301093518850866
pred_hard_lineage,clr,3,GC,pred_hard_lineage::Myeloid,0.44786623074344484
pred_hard_lineage,clr,3,GC,pred_hard_lineage::NK,-1.5670392462820817
pred_hard_lineage,clr,3,GC,pred_hard_lineage::Other,0.9600609165953414
pred_hard_lineage,clr,3,GC,pred_hard_lineage::T,1.3643801897682584
pred_hard_lineage,clr,3,HCC,pred_hard_lineage::B,0.46979755398028084
pred_hard_lineage,clr,3,HCC,pred_hard_lineage::Myeloid,0.8888712758521963
pred_hard_lineage,clr,3,HCC,pred_hard_lineage::NK,2.4907123871733274
pred_hard_lineage,clr,3,HCC,pred_hard_lineage::Other,-1.2974157143138834
pred_hard_lineage,clr,3,HCC,pred_hard_lineage::T,-1.4699471844956196
pred_hard_lineage,clr,3,Normal,pred_hard_lineage::B,0.12116082780603409
pred_hard_lineage,clr,3,Normal,pred_hard_lineage::Myeloid,0.20737280065438846
pred_hard_lineage,clr,3,Normal,pred_hard_lineage::NK,-0.08462048401544865
