outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,7,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,4,6,True
0,7,8,100,fine,28,NK.cyc,5,9,True
0,7,8,100,fine,29,NK.mitohi,5,8,True
0,7,8,100,fine,30,PB,4,11,True
0,7,8,100,fine,31,PLT,0,0,False
0,7,8,100,fine,32,RET,0,0,False
0,7,8,100,fine,33,cDC,6,8,True
0,7,8,100,fine,34,cMono,8,227,True
0,7,8,100,fine,35,cMono.cyc,2,4,True
0,7,8,100,fine,36,iNKT,1,2,True
0,7,8,100,fine,37,ncMono,8,46,True
0,7,8,100,fine,38,pDC,2,2,True
0,8,8,100,coarse,0,B,8,85,True
0,8,8,100,coarse,1,Myeloid,8,235,True
0,8,8,100,coarse,2,NK,8,73,True
0,8,8,100,coarse,3,Other,4,8,True
0,8,8,100,coarse,4,T,8,399,True
0,8,8,100,fine,0,B.INT,8,25,True
0,8,8,100,fine,1,B.MEM,8,19,True
0,8,8,100,fine,2,B.NAIVE,7,32,True
0,8,8,100,fine,3,CD4.NAIVE,8,142,True
0,8,8,100,fine,4,CD4.TCM,8,105,True
0,8,8,100,fine,5,CD4.TEFF,6,13,True
0,8,8,100,fine,6,CD4.TEFF.prolif,3,3,True
0,8,8,100,fine,7,CD4.TEM/TEMRA,2,5,True
0,8,8,100,fine,8,CD4.TREG,6,13,True
0,8,8,100,fine,9,CD8.NAIVE,8,41,True
0,8,8,100,fine,10,CD8.TCM,3,6,True
0,8,8,100,fine,11,CD8.TCM.CCL5,5,9,True
0,8,8,100,fine,12,CD8.TEFF,1,2,True
0,8,8,100,fine,13,CD8.TEFF.prolif,3,4,True
0,8,8,100,fine,14,CD8.TEM,7,13,True
0,8,8,100,fine,15,CD8.TEMRA,7,16,True
0,8,8,100,fine,16,CD8.TREG,0,0,False
0,8,8,100,fine,17,CD8.mitohi,4,4,True
0,8,8,100,fine,18,DN,3,4,True
0,8,8,100,fine,19,DP,5,8,True
0,8,8,100,fine,20,GDT.VD2,5,7,True
0,8,8,100,fine,21,GDT.VD2neg,1,1,True
0,8,8,100,fine,22,HSC,2,3,True
0,8,8,100,fine,23,MAIT,2,3,True
0,8,8,100,fine,24,Mast,0,0,False
0,8,8,100,fine,25,NK.CD16hi,7,54,True
0,8,8,100,fine,26,NK.CD16int,2,2,True
0,8,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,7,9,True
0,8,8,100,fine,28,NK.cyc,2,2,True
0,8,8,100,fine,29,NK.mitohi,3,6,True
0,8,8,100,fine,30,PB,4,9,True
0,8,8,100,fine,31,PLT,2,3,True
0,8,8,100,fine,32,RET,2,2,True
0,8,8,100,fine,33,cDC,4,4,True
0,8,8,100,fine,34,cMono,8,191,True
0,8,8,100,fine,35,cMono.cyc,2,5,True
0,8,8,100,fine,36,iNKT,0,0,False
0,8,8,100,fine,37,ncMono,8,34,True
0,8,8,100,fine,38,pDC,1,1,True
0,9,8,100,coarse,0,B,8,62,True
0,9,8,100,coarse,1,Myeloid,8,262,True
0,9,8,100,coarse,2,NK,8,54,True
0,9,8,100,coarse,3,Other,4,5,True
0,9,8,100,coarse,4,T,8,417,True
0,9,8,100,fine,0,B.INT,5,14,True
0,9,8,100,fine,1,B.MEM,5,10,True
0,9,8,100,fine,2,B.NAIVE,7,28,True
0,9,8,100,fine,3,CD4.NAIVE,8,139,True
0,9,8,100,fine,4,CD4.TCM,8,109,True
0,9,8,100,fine,5,CD4.TEFF,7,8,True
0,9,8,100,fine,6,CD4.TEFF.prolif,6,6,True
0,9,8,100,fine,7,CD4.TEM/TEMRA,1,8,True
0,9,8,100,fine,8,CD4.TREG,5,13,True
0,9,8,100,fine,9,CD8.NAIVE,5,22,True
0,9,8,100,fine,10,CD8.TCM,2,2,True
0,9,8,100,fine,11,CD8.TCM.CCL5,6,11,True
0,9,8,100,fine,12,CD8.TEFF,1,1,True
0,9,8,100,fine,13,CD8.TEFF.prolif,3,4,True
0,9,8,100,fine,14,CD8.TEM,7,18,True
0,9,8,100,fine,15,CD8.TEMRA,5,37,True
0,9,8,100,fine,16,CD8.TREG,0,0,False
0,9,8,100,fine,17,CD8.mitohi,5,7,True
0,9,8,100,fine,18,DN,3,4,True
0,9,8,100,fine,19,DP,3,4,True
0,9,8,100,fine,20,GDT.VD2,5,10,True
0,9,8,100,fine,21,GDT.VD2neg,4,5,True
0,9,8,100,fine,22,HSC,2,3,True
0,9,8,100,fine,23,MAIT,3,8,True
0,9,8,100,fine,24,Mast,0,0,False
0,9,8,100,fine,25,NK.CD16hi,7,38,True
0,9,8,100,fine,26,NK.CD16int,1,1,True
0,9,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,2,3,True
0,9,8,100,fine,28,NK.cyc,2,2,True
0,9,8,100,fine,29,NK.mitohi,4,10,True
0,9,8,100,fine,30,PB,4,10,True
